hour,nuclear_north,coal_north,ct_north,wind_north,ccgt_south_1,ccgt_south_2,ct_south,solar_south,coal_east,ccgt_east,ct_east,wind_east
0,1.0,1.0,1.0,0.5188,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4754
1,1.0,1.0,1.0,0.5184,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5858
2,1.0,1.0,1.0,0.4796,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4918
3,1.0,1.0,1.0,0.4592,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4485
4,1.0,1.0,1.0,0.6099,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4576
5,1.0,1.0,1.0,0.4716,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3675
6,1.0,1.0,1.0,0.4188,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4486
7,1.0,1.0,1.0,0.4248,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4512
8,1.0,1.0,1.0,0.3742,1.0,1.0,1.0,0.1207,1.0,1.0,1.0,0.3772
9,1.0,1.0,1.0,0.4195,1.0,1.0,1.0,0.3276,1.0,1.0,1.0,0.3171
10,1.0,1.0,1.0,0.4176,1.0,1.0,1.0,0.5414,1.0,1.0,1.0,0.4272
11,1.0,1.0,1.0,0.4425,1.0,1.0,1.0,0.6059,1.0,1.0,1.0,0.4049
12,1.0,1.0,1.0,0.455,1.0,1.0,1.0,0.5515,1.0,1.0,1.0,0.4598
13,1.0,1.0,1.0,0.448,1.0,1.0,1.0,0.4296,1.0,1.0,1.0,0.4594
14,1.0,1.0,1.0,0.3425,1.0,1.0,1.0,0.3954,1.0,1.0,1.0,0.3154
15,1.0,1.0,1.0,0.3615,1.0,1.0,1.0,0.2816,1.0,1.0,1.0,0.3791
16,1.0,1.0,1.0,0.2375,1.0,1.0,1.0,0.1149,1.0,1.0,1.0,0.4736
17,1.0,1.0,1.0,0.2035,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6317
18,1.0,1.0,1.0,0.2405,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4638
19,1.0,1.0,1.0,0.3325,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2229
20,1.0,1.0,1.0,0.5371,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2707
21,1.0,1.0,1.0,0.4991,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2362
22,1.0,1.0,1.0,0.4246,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1622
23,1.0,1.0,1.0,0.4726,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1739
24,1.0,1.0,1.0,0.635,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1587
25,1.0,1.0,1.0,0.7457,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1123
26,1.0,1.0,1.0,0.6646,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1153
27,1.0,1.0,1.0,0.6494,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1442
28,1.0,1.0,1.0,0.7105,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1585
29,1.0,1.0,1.0,0.7677,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1739
30,1.0,1.0,1.0,0.7972,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2044
31,1.0,1.0,1.0,0.7637,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1286
32,1.0,1.0,1.0,0.7932,1.0,1.0,1.0,0.1082,1.0,1.0,1.0,0.1328
33,1.0,1.0,1.0,0.8364,1.0,1.0,1.0,0.2909,1.0,1.0,1.0,0.1494
34,1.0,1.0,1.0,0.7788,1.0,1.0,1.0,0.4179,1.0,1.0,1.0,0.1392
35,1.0,1.0,1.0,0.8441,1.0,1.0,1.0,0.5479,1.0,1.0,1.0,0.113
36,1.0,1.0,1.0,0.8795,1.0,1.0,1.0,0.5543,1.0,1.0,1.0,0.0943
37,1.0,1.0,1.0,0.8417,1.0,1.0,1.0,0.4921,1.0,1.0,1.0,0.0911
38,1.0,1.0,1.0,0.8751,1.0,1.0,1.0,0.4426,1.0,1.0,1.0,0.1285
39,1.0,1.0,1.0,0.898,1.0,1.0,1.0,0.3155,1.0,1.0,1.0,0.21
40,1.0,1.0,1.0,0.9176,1.0,1.0,1.0,0.1436,1.0,1.0,1.0,0.3047
41,1.0,1.0,1.0,0.9474,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.206
42,1.0,1.0,1.0,0.9429,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1624
43,1.0,1.0,1.0,0.9447,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2036
44,1.0,1.0,1.0,0.862,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2951
45,1.0,1.0,1.0,0.8975,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.234
46,1.0,1.0,1.0,0.9216,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2518
47,1.0,1.0,1.0,0.9462,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1892
48,1.0,1.0,1.0,0.9212,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2117
49,1.0,1.0,1.0,0.9384,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.182
