hour,NORTH,SOUTH,EAST
0,946.85,879.28,555.15
1,889.42,836.84,527.4
2,875.07,826.04,516.4
3,873.45,808.01,512.61
4,864.17,832.34,521.34
5,895.93,878.05,552.05
6,988.61,969.67,600.58
7,1075.78,1058.02,647.79
8,1122.07,1094.11,674.54
9,1134.12,1114.86,688.01
10,1160.0,1118.86,690.51
11,1183.95,1141.84,699.6
12,1185.75,1137.79,707.49
13,1191.18,1105.89,710.46
14,1197.76,1083.56,721.62
15,1196.58,1072.03,716.29
16,1236.79,1113.68,726.22
17,1279.64,1150.89,757.42
18,1340.16,1199.07,785.27
19,1327.78,1192.97,776.28
20,1267.24,1142.11,737.7
21,1177.01,1076.99,688.54
22,1102.26,996.54,639.19
23,1007.33,883.3,576.15
24,945.0,830.77,559.02
25,895.21,796.78,531.69
26,878.15,794.27,524.35
27,870.39,801.07,513.43
28,886.15,798.55,523.52
29,937.15,837.81,551.24
30,1056.28,904.94,611.94
31,1144.74,1008.03,665.13
32,1183.49,1064.12,704.64
33,1194.21,1090.37,704.95
34,1213.92,1103.39,719.06
35,1240.78,1132.57,725.93
36,1237.18,1147.85,716.22
37,1211.52,1150.48,725.05
38,1198.68,1154.18,739.11
39,1219.26,1158.16,726.65
40,1264.55,1199.86,747.97
41,1330.59,1264.88,788.09
42,1365.52,1303.85,818.84
43,1356.19,1284.4,824.25
44,1297.69,1242.08,797.9
45,1216.98,1182.1,746.83
46,1132.69,1077.51,704.1
47,1038.4,981.09,648.62
48,985.41,925.39,605.95
49,936.29,882.86,570.45
50,913.65,852.79,561.41
51,906.46,857.79,546.86
52,901.19,870.57,549.62
53,943.88,918.85,575.13
54,1031.48,1027.19,633.31
55,1115.97,1110.39,687.31
56,1158.33,1151.22,703.28
57,1202.53,1153.71,725.6
58,1200.76,1159.62,727.53
59,1225.88,1148.11,750.1
60,1200.42,1156.37,750.33
61,1184.19,1148.68,751.4
62,1186.84,1142.71,753.94
63,1207.01,1150.44,769.47
64,1252.14,1192.19,793.23
65,1322.18,1229.11,828.8
66,1362.37,1274.5,865.01
67,1342.19,1272.23,876.78
68,1296.31,1189.76,831.52
69,1209.93,1122.54,781.16
70,1098.26,1014.01,716.56
71,992.09,927.44,656.41
72,925.73,861.46,615.54
73,887.03,834.52,568.95
74,866.53,801.83,551.11
75,862.93,775.95,548.11
76,870.16,788.93,548.62
77,918.18,827.48,581.65
78,1018.03,894.79,638.89
79,1106.45,985.15,693.09
80,1159.09,1002.82,727.03
81,1172.77,1012.72,744.62
82,1179.43,1019.01,752.66
83,1185.97,1043.8,765.71
84,1169.56,1064.53,764.3
85,1166.92,1071.26,740.18
86,1161.43,1070.76,734.84
87,1174.39,1050.32,724.81
88,1216.87,1089.2,750.32
89,1281.76,1164.14,792.12
90,1338.96,1225.85,827.48
91,1325.98,1222.87,822.77
92,1262.06,1153.26,793.48
93,1181.08,1074.03,727.49
94,1067.57,1015.48,668.72
95,961.63,914.18,601.22
96,893.83,849.79,563.49
97,842.04,819.05,545.79
98,827.62,794.57,537.63
99,809.86,773.63,533.41
100,819.6,800.27,538.07
101,880.32,847.77,558.66
102,966.5,928.65,614.88
103,1067.01,999.62,678.33
104,1100.79,1068.93,708.39
105,1122.77,1090.0,707.79
106,1123.1,1119.18,714.68
107,1132.58,1141.06,704.55
108,1148.25,1132.65,711.26
109,1115.24,1113.95,698.22
110,1125.28,1132.43,687.9
111,1143.0,1161.36,701.91
112,1170.25,1166.55,727.07
113,1206.0,1227.78,762.96
114,1254.9,1268.25,810.53
115,1239.96,1240.68,808.16
116,1193.94,1189.9,765.79
117,1121.97,1095.69,720.36
118,1059.18,1005.16,661.09
119,968.93,912.08,613.5
120,840.49,794.93,538.23
121,803.31,756.43,513.12
122,786.65,728.74,490.58
123,791.03,734.53,483.84
124,810.61,749.34,489.33
125,857.36,806.21,508.29
126,959.95,884.53,557.35
127,1031.79,958.11,610.94
128,1066.6,1018.78,635.97
129,1076.24,1030.85,637.44
130,1082.71,1037.89,641.75
131,1076.04,1056.17,644.6
132,1086.76,1039.69,646.57
133,1074.98,1038.12,641.36
134,1057.1,1044.55,638.47
135,1056.34,1069.37,641.58
136,1094.4,1109.73,661.25
137,1160.68,1176.52,700.87
138,1234.39,1213.71,728.5
139,1267.76,1188.4,734.59
140,1217.11,1162.22,711.48
141,1124.95,1066.27,676.89
142,1010.67,965.32,632.76
143,929.12,888.92,588.1
144,867.8,852.13,545.08
145,822.02,810.53,520.88
146,795.81,797.06,513.0
147,785.09,766.64,512.41
148,807.18,771.24,512.74
149,851.88,793.1,541.84
150,935.8,880.67,594.37
151,1008.68,942.67,659.51
152,1030.38,967.28,673.6
153,1046.95,994.2,678.85
154,1059.11,1017.93,669.52
155,1095.69,1026.1,676.03
156,1098.66,1033.51,692.65
157,1102.24,1030.14,683.71
158,1095.95,1027.14,682.67
159,1091.34,1023.33,691.82
160,1110.95,1060.55,708.86
161,1154.54,1118.4,743.17
162,1230.36,1170.4,771.1
163,1208.48,1163.68,755.02
164,1169.3,1096.73,719.86
165,1083.59,1035.22,678.47
166,1012.06,954.23,630.98
167,931.67,868.38,584.81
168,943.03,876.37,592.85
169,896.92,826.67,564.32
170,867.33,814.42,552.65
171,861.21,789.92,539.82
172,868.28,791.32,541.42
173,900.99,830.65,567.63
174,976.87,933.19,613.8
175,1070.3,1031.33,671.71
176,1139.03,1052.94,706.99
177,1165.07,1092.4,713.65
178,1175.63,1120.73,723.03
179,1192.07,1114.9,723.37
180,1211.59,1081.07,713.76
181,1202.74,1071.16,723.5
182,1196.38,1087.39,713.74
183,1223.84,1119.76,708.98
184,1264.54,1139.63,730.96
185,1346.23,1218.15,767.12
186,1394.75,1227.38,800.25
187,1360.62,1211.92,811.17
188,1279.19,1154.09,767.33
189,1221.2,1096.8,712.53
190,1147.82,1027.53,668.8
191,1046.83,951.02,617.87
192,980.76,880.78,586.13
193,947.32,846.16,552.28
194,909.21,828.74,543.81
195,886.51,800.91,540.02
196,904.25,791.44,546.69
197,946.22,844.76,569.92
198,1039.72,927.69,626.04
199,1130.97,996.85,694.04
200,1181.83,1037.15,711.71
201,1224.26,1064.17,717.48
202,1235.42,1074.73,717.83
203,1254.62,1065.73,720.21
204,1222.5,1093.04,719.19
205,1209.19,1096.6,719.44
206,1196.33,1092.3,722.1
207,1190.18,1099.32,728.29
208,1212.22,1136.49,750.36
209,1265.11,1173.67,789.64
210,1326.77,1221.49,800.31
211,1294.99,1192.17,802.56
212,1240.95,1141.01,759.05
213,1156.63,1054.53,706.29
214,1064.17,961.07,653.56
215,988.37,900.88,597.44
216,938.89,850.75,565.78
217,908.15,812.46,538.51
218,883.03,773.01,522.34
219,864.05,758.97,524.31
220,873.48,775.66,534.75
221,922.54,820.31,563.72
222,1017.22,879.9,623.73
223,1095.37,965.64,673.34
224,1143.17,1013.61,717.71
225,1170.09,1053.35,720.91
226,1218.25,1056.79,727.29
227,1256.0,1039.32,730.33
228,1241.13,1029.55,726.2
229,1223.31,1009.14,714.24
230,1200.88,1023.33,706.86
231,1203.64,1000.9,723.16
232,1243.15,1029.22,732.5
233,1319.88,1103.62,775.13
234,1354.14,1147.86,807.93
235,1331.53,1155.6,796.19
236,1240.85,1085.64,765.38
237,1161.16,999.54,714.3
238,1058.44,943.95,649.48
239,964.86,868.77,586.73
240,901.67,822.5,557.33
241,858.99,773.69,533.78
242,820.59,757.66,521.23
243,797.47,739.3,511.59
244,834.27,763.77,516.98
245,866.32,834.35,541.87
246,942.89,924.27,583.51
247,1057.36,1001.27,637.61
248,1144.74,1011.74,668.96
249,1151.75,1012.77,683.21
250,1159.32,1046.98,704.94
251,1177.28,1046.05,702.84
252,1203.72,1044.26,697.24
253,1178.11,1046.07,691.88
254,1175.4,1068.23,694.09
255,1199.0,1077.46,684.88
256,1240.41,1104.63,710.75
257,1292.52,1159.18,746.82
258,1336.83,1193.09,754.06
259,1303.71,1176.54,747.92
260,1244.8,1133.57,709.55
261,1163.2,1065.72,662.17
262,1077.35,1010.37,601.97
263,981.01,930.3,556.02
264,931.48,888.62,537.19
265,897.96,833.9,513.44
266,876.9,817.51,487.62
267,869.25,799.47,484.19
268,881.42,813.98,490.57
269,927.81,863.68,510.44
270,1011.75,950.02,565.63
271,1108.43,1065.31,625.44
272,1153.51,1125.79,647.27
273,1206.6,1160.64,648.05
274,1239.78,1178.4,639.66
275,1255.11,1209.25,643.07
276,1241.61,1185.11,644.71
277,1211.97,1188.0,637.05
278,1228.16,1170.45,634.26
279,1242.18,1170.65,648.29
280,1283.3,1208.93,673.77
281,1313.86,1279.53,709.6
282,1374.97,1303.69,745.03
283,1368.91,1281.59,734.38
284,1290.71,1224.59,694.7
285,1201.1,1141.78,648.37
286,1110.99,1061.47,595.63
287,1017.64,1008.11,533.11
288,888.66,884.11,466.27
289,844.06,830.77,452.32
290,819.81,794.95,447.13
291,810.5,779.54,445.69
292,835.7,779.61,453.66
293,852.27,823.72,487.51
294,935.38,909.15,530.04
295,1023.36,984.51,572.47
296,1070.46,1047.44,606.36
297,1087.38,1056.61,619.79
298,1075.26,1063.21,621.7
299,1091.92,1079.32,633.32
300,1116.66,1087.95,630.86
301,1085.73,1090.33,619.39
302,1098.51,1092.13,614.03
303,1105.38,1112.15,624.16
304,1137.26,1131.6,645.3
305,1176.02,1193.01,689.63
306,1214.66,1243.82,712.43
307,1225.35,1249.15,704.41
308,1181.09,1167.79,686.55
309,1129.27,1078.75,650.69
310,1055.19,1001.61,601.0
311,969.88,887.09,539.95
312,931.26,839.7,504.18
313,888.04,807.3,473.89
314,871.15,779.73,462.72
315,854.27,764.33,454.47
316,864.03,763.76,470.53
317,899.95,798.45,486.17
318,999.19,872.85,527.97
319,1072.66,944.37,579.07
320,1125.54,975.33,608.36
321,1143.15,992.37,601.63
322,1167.81,999.58,596.02
323,1186.39,1033.56,602.29
324,1207.67,1028.56,615.45
325,1201.56,1023.01,626.03
326,1176.07,1015.84,623.84
327,1183.31,1018.68,629.71
328,1198.05,1027.0,642.32
329,1244.22,1055.83,679.21
330,1309.48,1079.7,718.06
331,1304.8,1076.39,723.26
332,1235.05,1046.72,691.51
333,1140.67,960.27,640.95
334,1051.11,882.29,591.49
335,947.69,796.57,550.95
336,952.39,807.87,555.47
337,909.26,782.34,516.81
338,897.95,760.33,501.81
339,891.68,752.33,494.07
340,878.23,778.9,490.06
341,928.02,826.23,518.56
342,1021.7,901.76,575.21
343,1120.07,987.67,642.99
344,1188.89,1020.09,659.25
345,1181.9,1048.32,679.27
346,1185.08,1067.36,694.46
347,1205.63,1061.08,705.62
348,1182.77,1065.79,696.96
349,1193.73,1056.12,681.62
350,1199.06,1065.39,683.11
351,1222.74,1088.44,691.12
352,1248.67,1127.41,706.77
353,1319.31,1176.44,752.32
354,1382.64,1233.21,775.62
355,1372.61,1209.9,751.66
356,1314.67,1139.48,718.15
357,1233.08,1026.42,677.6
358,1124.12,949.14,628.42
359,1026.66,862.98,578.44
360,965.11,820.65,555.55
361,921.53,763.49,521.31
362,907.66,740.94,505.59
363,883.38,739.12,508.69
364,893.16,742.03,503.24
365,956.06,788.86,529.89
366,1041.01,864.99,592.2
