name,node,technology,max_mw,min_mw,heat_rate_slope_mmbtu_per_mwh,heat_rate_intercept_mmbtu_per_hr,fuel_cost_per_mmbtu,vom_cost_per_mwh,startup_cost,shutdown_cost,ramp_rate_mw_per_hr,min_up_time_hr,min_down_time_hr
nuclear_north,NORTH,nuclear,1000.0,900.0,10.45,30.0,0.72,2.3,120000.0,10000.0,500.0,72,48
coal_north,NORTH,coal,650.0,260.0,9.9,320.0,2.15,4.5,45000.0,5000.0,260.0,24,12
ct_north,NORTH,gas_ct,220.0,60.0,10.8,25.0,3.6,5.2,4000.0,500.0,220.0,1,1
wind_north,NORTH,wind,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,1,1
ccgt_south_1,SOUTH,gas_cc,500.0,160.0,6.7,95.0,3.6,3.4,12000.0,1500.0,350.0,6,4
ccgt_south_2,SOUTH,gas_cc,420.0,140.0,7.0,85.0,3.6,3.6,10000.0,1200.0,300.0,6,4
ct_south,SOUTH,gas_ct,250.0,70.0,11.2,28.0,3.6,5.5,4500.0,500.0,250.0,1,1
solar_south,SOUTH,solar,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,1,1
coal_east,EAST,coal,480.0,200.0,10.1,260.0,2.3,4.8,38000.0,4000.0,200.0,24,12
ccgt_east,EAST,gas_cc,380.0,130.0,6.9,80.0,3.9,3.5,11000.0,1300.0,280.0,6,4
ct_east,EAST,gas_ct,180.0,50.0,11.0,20.0,3.9,5.4,3500.0,400.0,180.0,1,1
wind_east,EAST,wind,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,1,1
