hour,bus001,bus002,bus003,bus004,bus006,bus007,bus011,bus012,bus013,bus014,bus015,bus016,bus017,bus018,bus019,bus020,bus021,bus022,bus023,bus027,bus028,bus029,bus031,bus032,bus033,bus034,bus035,bus036,bus039,bus040,bus041,bus042,bus043,bus044,bus045,bus046,bus047,bus048,bus049,bus050,bus051,bus052,bus053,bus054,bus055,bus056,bus057,bus058,bus059,bus060,bus062,bus066,bus067,bus070,bus074,bus075,bus076,bus077,bus078,bus079,bus080,bus082,bus083,bus084,bus085,bus086,bus088,bus090,bus092,bus093,bus094,bus095,bus096,bus097,bus098,bus100,bus101,bus102,bus103,bus104,bus105,bus106,bus107,bus108,bus109,bus110,bus112,bus114,bus115,bus117,bus118
0,239.6945,93.9918,183.2906,141.0098,244.3875,89.2988,328.9933,220.8785,159.7816,65.7898,422.9851,117.5008,50.4529,281.9753,211.4926,84.6059,65.7898,47.018,32.8949,291.4055,79.9129,112.8078,202.1067,277.2824,67.4138,172.8963,96.7038,90.8513,74.5362,54.6235,102.1422,102.1422,17.4279,15.4915,51.3155,27.1101,32.9194,19.3643,84.2349,16.4597,16.4597,17.4279,22.269,109.4086,60.9977,81.3303,11.6186,11.6186,268.1962,75.5209,74.5527,37.7605,27.1101,102.4833,105.5889,72.9806,65.8388,59.0613,68.7434,37.7605,125.8683,129.4232,47.9345,26.364,57.5214,50.3313,115.0429,186.9447,194.3685,35.8834,89.7085,125.5919,113.6308,18.12,41.072,110.6405,65.7863,14.9514,68.7765,113.6308,92.6988,128.5822,82.6142,5.9806,23.9223,116.6211,74.7571,16.4479,45.2366,41.1295,39.864
1,225.1025,88.2698,172.1323,132.4255,229.5097,83.8625,308.965,207.4319,150.0545,61.7847,397.2348,110.3476,47.3814,264.8093,198.6174,79.4553,61.7847,44.1557,30.8923,273.6654,75.048,105.9404,189.8029,260.4021,63.3098,162.3708,90.8167,85.3205,69.9986,51.2981,95.924,95.924,16.5667,14.7259,48.7796,25.7704,31.2926,18.4074,80.0722,15.6463,15.6463,16.5667,21.1685,104.0018,57.9833,77.3111,11.0444,11.0444,254.9424,71.7888,70.8685,35.8944,25.7704,97.4188,100.3709,69.374,62.5852,56.1426,65.3463,35.8944,119.6481,123.0274,45.5657,25.0611,54.6788,47.844,109.3577,177.7062,186.8251,34.4908,86.227,120.7178,109.2208,17.4168,39.478,106.3466,63.2331,14.3712,66.1074,109.2208,89.1012,123.592,79.408,5.7485,22.9939,112.0951,71.8558,15.8096,43.481,39.5333,38.3169
2,220.4072,86.4286,168.5419,129.6633,224.7225,82.1133,302.5204,203.1052,146.9245,60.4959,388.949,108.0459,46.3931,259.2858,194.4745,77.7979,60.4959,43.2347,30.248,267.9571,73.4826,103.7306,185.8439,254.9705,61.9893,158.984,88.9224,83.5408,68.5385,50.2281,93.9232,93.9232,15.8818,14.1172,46.7631,24.705,29.999,17.6464,76.762,14.9995,14.9995,15.8818,20.2934,99.7024,55.5863,74.1151,10.5879,10.5879,244.4033,68.8211,67.9388,34.4106,24.705,93.3916,96.2216,66.5061,59.9979,53.8217,62.6449,34.4106,114.7019,117.9415,43.682,24.0251,52.4185,45.8662,104.8369,170.36,178.1303,32.8856,82.214,115.0996,104.1377,16.6062,37.6407,101.3973,60.2903,13.7023,63.0307,104.1377,84.9545,117.8401,75.7124,5.4809,21.9237,106.8782,68.5117,15.0738,41.4574,37.6934,36.5336
3,218.8741,85.8274,167.3696,128.7614,223.1594,81.5421,300.4162,201.6924,145.9026,60.0752,386.2437,107.2944,46.0704,257.4823,193.1218,77.2568,60.0752,42.9339,30.0376,266.0933,72.9715,103.0091,184.5512,253.197,61.5581,157.8781,88.3039,82.9598,68.0618,49.8788,93.2699,93.2699,15.464,13.7458,45.5329,24.0551,29.2098,17.1822,74.7427,14.6049,14.6049,15.464,19.7596,97.0796,54.124,72.1654,10.3093,10.3093,237.974,67.0107,66.1516,33.5054,24.0551,90.9348,93.6904,64.7566,58.4196,52.4058,60.9969,33.5054,111.6845,114.8389,42.5329,23.3931,51.0395,44.6596,102.0791,165.8785,172.8788,31.9161,79.7902,111.7063,101.0676,16.1166,36.531,98.4079,58.5128,13.2984,61.1725,101.0676,82.4499,114.366,73.4803,5.3193,21.2774,103.7273,66.4918,14.6294,40.2352,36.5821,35.4566
4,222.6391,87.3038,170.2486,130.9763,226.9982,82.9448,305.5839,205.1619,148.4124,61.1086,392.8878,109.1401,46.8629,261.9115,196.4439,78.5858,61.1086,43.6725,30.5543,270.6706,74.2267,104.781,187.7258,257.5524,62.617,160.594,89.8229,84.3868,69.2326,50.7368,94.8743,94.8743,15.662,13.9217,46.1158,24.363,29.5837,17.4022,75.6995,14.7919,14.7919,15.662,20.0125,98.3223,54.8169,73.0891,10.4413,10.4413,241.0202,67.8685,66.9984,33.9342,24.363,92.0988,94.8897,65.5855,59.1674,53.0766,61.7777,33.9342,113.1142,116.3089,43.0774,23.6926,51.6929,45.2312,103.3857,168.0018,172.142,31.7801,79.4501,111.2302,100.6368,16.0479,36.3753,97.9885,58.2634,13.2417,60.9118,100.6368,82.0985,113.8785,73.1671,5.2967,21.1867,103.2852,66.2085,14.5671,40.0637,36.4262,35.3054
5,232.4682,91.1581,177.7648,136.7587,237.0197,86.6067,319.0749,214.2195,154.9645,63.8064,410.233,113.9584,48.9318,273.4744,205.1165,82.0552,63.8064,45.6005,31.9032,282.6202,77.5037,109.4069,196.0136,268.9229,65.3815,167.6839,93.7884,88.1123,72.2891,52.9767,99.0628,99.0628,16.1622,14.3664,47.5888,25.1412,30.5286,17.958,78.1174,15.2643,15.2643,16.1622,20.6517,101.4628,56.5678,75.4237,10.7748,10.7748,248.7186,70.0363,69.1384,35.0181,25.1412,95.0405,97.9206,67.6804,61.0573,54.772,63.751,35.0181,116.7271,120.0239,44.4533,24.4493,53.344,46.676,106.688,173.3679,176.1216,32.5148,81.2869,113.8017,102.9634,16.4189,37.2162,100.2538,59.6104,13.5478,62.32,102.9634,83.9965,116.5112,74.8586,5.4191,21.6765,105.673,67.7391,14.9038,40.9899,37.2683,36.1217
6,241.798,94.8166,184.8991,142.2472,246.5321,90.0825,331.8804,222.8168,161.1837,66.3672,426.697,118.5319,50.8956,284.4498,213.3485,85.3483,66.3672,47.4306,33.1836,293.9627,80.6142,113.7978,203.8802,279.7156,68.0054,174.4136,97.5524,91.6486,75.1903,55.1028,103.0385,103.0385,16.8369,14.9661,49.5753,26.1907,31.8031,18.7077,81.3784,15.9015,15.9015,16.8369,21.5138,105.6984,58.9292,78.5722,11.2246,11.2246,259.1013,72.9599,72.0246,36.48,26.1907,99.008,102.0082,70.5057,63.6061,57.0584,66.4123,36.48,121.5999,125.0343,46.309,25.47,55.5708,48.6245,111.1416,180.6052,185.1497,34.1815,85.4537,119.6352,108.2413,17.2606,39.124,105.3929,62.666,14.2423,65.5145,108.2413,88.3021,122.4836,78.6959,5.6969,22.7876,111.0898,71.2114,15.6678,43.0911,39.1787,37.9733
7,253.1606,99.2723,193.5879,148.9318,258.1172,94.3157,347.4763,233.2875,168.7582,69.4859,446.7486,124.102,53.2873,297.8168,223.3743,89.3591,69.4859,49.6595,34.743,307.7768,84.4025,119.1454,213.4611,292.8602,71.2012,182.6097,102.1366,95.9554,78.7236,57.6922,107.8805,107.8805,17.1865,15.2769,50.6046,26.7345,32.4633,19.0961,83.0679,16.2317,16.2317,17.1865,21.9605,107.8928,60.1526,80.2035,11.4576,11.4576,264.4806,74.4747,73.5199,37.2373,26.7345,101.0635,104.1261,71.9695,64.9266,58.243,67.7911,37.2373,124.1245,127.6302,47.2704,25.9987,56.7245,49.634,113.4491,184.3547,195.3601,36.0665,90.1662,126.2327,114.2105,18.2124,41.2815,111.205,66.1219,15.0277,69.1274,114.2105,93.1718,129.2382,83.0357,6.0111,24.0443,117.2161,75.1385,16.5318,45.4674,41.3393,40.0674
8,262.8557,103.074,201.0016,154.6353,268.0021,97.9276,360.7833,242.2215,175.221,72.147,463.8573,128.8546,55.328,309.222,231.9287,92.7812,72.147,51.5613,36.0735,319.5634,87.6347,123.7082,221.6358,304.0756,73.9279,189.603,106.0481,99.6301,81.7385,59.9016,112.012,112.012,17.8498,15.8665,52.5577,27.7663,33.7162,19.8331,86.2739,16.8581,16.8581,17.8498,22.808,112.0569,62.4742,83.2989,11.8998,11.8998,274.6882,77.349,76.3574,38.6745,27.7663,104.9641,108.1448,74.7471,67.4325,60.4909,70.4074,38.6745,128.915,132.5561,49.0948,27.0022,58.9138,51.5496,117.8276,191.4699,215.1172,39.7139,99.2848,138.9988,125.7608,20.0543,45.4564,122.4513,72.8089,16.5475,76.1184,125.7608,102.5943,142.3083,91.4332,6.619,26.476,129.0703,82.7374,18.2037,50.0656,45.52,44.1194
9,269.6574,105.7412,206.2028,158.6367,274.937,100.4616,370.119,248.4893,179.755,74.0138,475.8602,132.1889,56.7597,317.2235,237.9301,95.182,74.0138,52.8955,37.0069,327.8325,89.9024,126.9093,227.3709,311.9439,75.8409,194.5092,108.7922,102.2081,83.8535,61.4517,114.9104,114.9104,18.6978,16.6202,55.0545,29.0854,35.318,20.7753,90.3725,17.659,17.659,18.6978,23.8916,117.3804,65.4421,87.2562,12.4652,12.4652,287.7377,81.0236,79.9848,40.5118,29.0854,109.9506,113.2824,78.2981,70.636,63.3646,73.7523,40.5118,135.0394,138.8534,51.4272,28.2849,61.7126,53.9985,123.4252,200.566,231.4331,42.7261,106.8153,149.5414,135.2994,21.5753,48.9041,131.7389,78.3312,17.8025,81.8917,135.2994,110.3758,153.1019,98.3682,7.121,28.4841,138.8599,89.0127,19.5844,53.8629,48.9726,47.4658
10,272.4773,106.8469,208.359,160.2955,277.812,101.5121,373.9894,251.0877,181.6347,74.7878,480.8363,133.5712,57.3532,320.5408,240.4181,96.1773,74.7878,53.4486,37.3939,331.2607,90.8425,128.2364,229.7485,315.206,76.6339,196.5432,109.9299,103.2769,84.7304,62.0943,116.112,116.112,19.3471,17.1974,56.9665,30.0955,36.5446,21.4968,93.5111,18.2723,18.2723,19.3471,24.7213,121.457,67.7149,90.2866,12.8981,12.8981,297.7308,83.8375,82.7627,41.9188,30.0955,113.7691,117.2167,81.0174,73.0891,65.5653,76.3137,41.9188,139.7292,143.6757,53.2132,29.2673,63.8559,55.8739,127.7118,207.5316,242.2656,44.726,111.8149,156.5409,141.6322,22.5852,51.1931,137.905,81.9976,18.6358,85.7248,141.6322,115.5421,160.268,102.9724,7.4543,29.8173,145.3594,93.1791,20.5011,56.384,51.2648,49.6875
11,274.2703,107.55,209.7302,161.3504,279.6402,102.1801,376.4504,252.74,182.83,75.28,484.0005,134.4502,57.7306,322.6501,242.0002,96.8102,75.28,53.8004,37.64,333.4406,91.4403,129.0803,231.2604,317.2802,77.1382,197.8365,110.6533,103.9566,85.288,62.5029,116.8761,116.8761,19.5317,17.3615,57.5099,30.3826,36.8931,21.7018,94.403,18.4466,18.4466,19.5317,24.9571,122.6154,68.3608,91.1478,13.0211,13.0211,300.5706,84.6372,83.5521,42.3186,30.3826,114.8543,118.3347,81.7902,73.7863,66.1906,77.0416,42.3186,141.062,145.0461,53.7208,29.5464,64.4649,56.4068,128.9299,209.5111,246.6541,45.5361,113.8404,159.3765,144.1978,22.9943,52.1205,140.4031,83.4829,18.9734,87.2776,144.1978,117.635,163.1712,104.8377,7.5894,30.3574,147.9925,94.867,20.8725,57.4054,52.1934,50.5875
12,273.7635,107.3513,209.3426,161.0522,279.1235,101.9913,375.7548,252.273,182.4921,75.1408,483.1061,134.2017,57.624,322.0539,241.553,96.6313,75.1408,53.7009,37.5704,332.8244,91.2713,128.8418,230.8331,316.6939,76.9957,197.4709,110.4488,103.7645,85.1304,62.3874,116.6601,116.6601,19.3913,17.2367,57.0965,30.1642,36.628,21.5459,93.7245,18.314,18.314,19.3913,24.7777,121.7341,67.8695,90.4926,12.9275,12.9275,298.4102,84.0289,82.9516,42.0144,30.1642,114.0287,117.4842,81.2023,73.2559,65.7149,76.4878,42.0144,140.0481,144.0036,53.3347,29.3341,64.0016,56.0014,128.0032,208.0052,248.1514,45.8126,114.5314,160.344,145.0731,23.1339,52.4368,141.2554,83.9897,19.0886,87.8074,145.0731,118.3491,164.1617,105.4741,7.6354,30.5417,148.8908,95.4428,20.9992,57.7539,52.5103,50.8946
13,273.2006,107.1306,208.9122,160.7211,278.5495,101.7816,374.9822,251.7543,182.1169,74.9863,482.1127,133.9258,57.5055,321.3917,241.0564,96.4326,74.9863,53.5905,37.4932,332.1401,91.0837,128.5768,230.3585,316.0427,76.8374,197.0649,110.2217,103.5511,84.9553,62.2591,116.4203,116.4203,19.158,17.0293,56.4096,29.8013,36.1873,21.2867,92.5969,18.0937,18.0937,19.158,24.4796,120.2696,67.0529,89.4039,12.772,12.772,294.8201,83.0179,81.9536,41.509,29.8013,112.6569,116.0707,80.2254,72.3746,64.9243,75.5676,41.509,138.3632,142.2711,52.693,28.9811,63.2316,55.3277,126.4632,205.5027,249.6572,46.0906,115.2264,161.317,145.9534,23.2743,52.755,142.1126,84.4994,19.2044,88.3403,145.9534,119.0673,165.1579,106.1141,7.6818,30.727,149.7943,96.022,21.1266,58.1043,52.8289,51.2034
14,275.8432,108.1668,210.9329,162.2757,281.2439,102.7661,378.6093,254.1895,183.8785,75.7117,486.7762,135.2213,58.0617,324.5005,243.3881,97.3654,75.7117,54.1089,37.8558,335.3528,91.9647,129.8206,232.5867,319.0997,77.5806,198.9711,111.2878,104.5527,85.7771,62.8613,117.5464,117.5464,19.0059,16.8942,55.9619,29.5648,35.9001,21.1177,91.8621,17.9501,17.9501,19.0059,24.2854,119.3151,66.5208,88.6944,12.6706,12.6706,292.4803,82.3591,81.3032,41.1795,29.5648,111.7628,115.1496,79.5887,71.8002,64.409,74.9679,41.1795,137.2651,141.142,52.2748,28.7511,62.7298,54.8886,125.4596,203.8718,249.7891,46.1149,115.2873,161.4022,146.0306,23.2866,52.7829,142.1876,84.544,19.2145,88.3869,146.0306,119.1302,165.2451,106.1702,7.6858,30.7433,149.8735,96.0727,21.1377,58.135,52.8568,51.2305
