name,node,technology,max_mw,min_mw,heat_rate_slope_mmbtu_per_mwh,heat_rate_intercept_mmbtu_per_hr,fuel_cost_per_mmbtu,vom_cost_per_mwh,startup_cost,shutdown_cost,ramp_rate_mw_per_hr,min_up_time_hr,min_down_time_hr,num_units
Biomass 01,bus012,biomass,3.0,0.9,12.12,10.909999999999998,2.4,1.91,15.9,0.0,25.2,1,1,1
Biomass 02,bus012,biomass,3.0,0.9,12.12,10.909999999999998,2.4,1.91,15.9,0.0,25.2,1,1,1
Biomass 03,bus103,biomass,1.2,0.36,12.12,4.36,2.4,1.91,6.36,0.0,25.2,1,1,1
Biomass 04,bus103,biomass,1.2,0.36,12.12,4.36,2.4,1.91,6.36,0.0,25.2,1,1,1
Biomass 05,bus012,biomass,1.3,0.26,12.120000000000001,4.7299999999999995,2.4,1.91,6.89,0.0,25.2,6,6,1
Biomass 06,bus012,biomass,1.3,0.26,12.120000000000001,4.7299999999999995,2.4,1.91,6.89,0.0,25.2,6,6,1
Biomass 07,bus012,biomass,3.0,0.6,12.12,10.91,2.4,1.91,15.9,0.0,25.2,6,6,1
Biomass 08,bus012,biomass,1.35,0.27,12.12,4.910000000000001,2.4,1.91,7.16,0.0,25.2,6,6,1
Biomass 09,bus012,biomass,1.35,0.27,12.12,4.910000000000001,2.4,1.91,7.16,0.0,25.2,6,6,1
Biomass 10,bus012,biomass,1.35,0.27,12.12,4.910000000000001,2.4,1.91,7.16,0.0,25.2,6,6,1
Biomass 11,bus012,biomass,0.71,0.14,12.12,2.5799999999999996,2.4,1.91,3.76,0.0,25.2,6,6,1
Biomass 12,bus012,biomass,0.71,0.14,12.12,2.5799999999999996,2.4,1.91,3.76,0.0,25.2,6,6,1
Biomass 13,bus012,biomass,0.71,0.14,12.12,2.5799999999999996,2.4,1.91,3.76,0.0,25.2,6,6,1
Biomass 14,bus012,biomass,1.57,0.31,12.120000000000001,5.71,2.4,1.91,8.32,0.0,25.2,6,6,1
Biomass 15,bus012,biomass,0.65,0.13,12.12,2.3600000000000003,2.4,1.91,3.45,0.0,25.2,6,6,1
Biomass 16,bus012,biomass,0.65,0.13,12.12,2.3600000000000003,2.4,1.91,3.45,0.0,25.2,6,6,1
Biomass 17,bus012,biomass,0.65,0.13,12.12,2.3600000000000003,2.4,1.91,3.45,0.0,25.2,6,6,1
Biomass 18,bus012,biomass,0.65,0.13,12.12,2.3600000000000003,2.4,1.91,3.45,0.0,25.2,6,6,1
Biomass 19,bus012,biomass,0.45,0.09,12.119999999999997,1.6400000000000001,2.4,1.91,2.39,0.0,25.2,6,6,1
Biomass 20,bus012,biomass,0.45,0.09,12.119999999999997,1.6400000000000001,2.4,1.91,2.39,0.0,25.2,6,6,1
Biomass 21,bus012,biomass,0.45,0.09,12.119999999999997,1.6400000000000001,2.4,1.91,2.39,0.0,25.2,6,6,1
Biomass 22,bus012,biomass,0.45,0.09,12.119999999999997,1.6400000000000001,2.4,1.91,2.39,0.0,25.2,6,6,1
Biomass 23,bus012,biomass,1.0,0.2,12.12,3.64,2.4,1.91,5.3,0.0,25.2,6,6,1
Biomass 24,bus012,biomass,1.0,0.2,12.12,3.64,2.4,1.91,5.3,0.0,25.2,6,6,1
Biomass 25,bus012,biomass,1.0,0.2,12.12,3.64,2.4,1.91,5.3,0.0,25.2,6,6,1
Biomass 26,bus012,biomass,1.9,0.57,12.647775714285714,9.21772894285714,2.4,1.91,10.07,0.0,10.799999999999999,8,8,1
Biomass 27,bus012,biomass,1.9,0.57,12.647775714285714,9.21772894285714,2.4,1.91,10.07,0.0,10.799999999999999,8,8,1
Biomass 28,bus012,biomass,1.9,0.57,12.647775714285714,9.21772894285714,2.4,1.91,10.07,0.0,10.799999999999999,8,8,1
Biomass 29,bus012,biomass,1.9,0.57,12.647775714285714,9.21772894285714,2.4,1.91,10.07,0.0,10.799999999999999,8,8,1
Biomass 30,bus012,biomass,1.9,0.57,12.647775714285714,9.21772894285714,2.4,1.91,10.07,0.0,10.799999999999999,8,8,1
Biomass 31,bus012,biomass,1.9,0.57,12.647775714285714,9.21772894285714,2.4,1.91,10.07,0.0,10.799999999999999,8,8,1
Biomass 32,bus012,biomass,1.9,0.57,12.119999999999997,6.910000000000001,2.4,1.91,10.07,0.0,25.2,6,6,1
Biomass 33,bus103,biomass,1.6,0.48,11.855,5.6899999999999995,2.4,1.91,8.48,0.0,25.2,5,8,1
Biomass 34,bus103,biomass,1.6,0.48,11.855,5.6899999999999995,2.4,1.91,8.48,0.0,25.2,5,8,1
Biomass 35,bus103,biomass,1.6,0.48,11.855,5.6899999999999995,2.4,1.91,8.48,0.0,25.2,5,8,1
Biomass 36,bus103,biomass,1.6,0.48,11.855,5.6899999999999995,2.4,1.91,8.48,0.0,25.2,5,8,1
Biomass 37,bus103,biomass,0.95,0.28,12.12,3.45,2.4,1.91,5.04,0.0,25.2,6,6,1
Biomass 38,bus103,biomass,0.95,0.19,12.119999999999997,3.450000000000001,2.4,1.91,5.04,0.0,25.2,6,6,1
Biomass 39,bus103,biomass,0.95,0.19,12.119999999999997,3.450000000000001,2.4,1.91,5.04,0.0,25.2,6,6,1
Biomass 40,bus103,biomass,0.95,0.19,12.119999999999997,3.450000000000001,2.4,1.91,5.04,0.0,25.2,6,6,1
Biomass 41,bus103,biomass,1.88,0.56,12.120000000000001,6.839999999999999,2.4,1.91,9.96,0.0,25.2,8,8,1
Biomass 42,bus103,biomass,1.88,0.56,12.120000000000001,6.839999999999999,2.4,1.91,9.96,0.0,25.2,8,8,1
Biomass 43,bus103,biomass,3.75,1.12,11.115404866920153,15.996964149049424,2.4,1.91,19.88,0.0,4.2,8,8,1
Biomass 44,bus103,biomass,2.29,0.69,12.120000000000001,8.329999999999998,2.4,1.91,12.14,0.0,25.2,5,8,1
Biomass 45,bus103,biomass,2.29,0.69,12.120000000000001,8.329999999999998,2.4,1.91,12.14,0.0,25.2,5,8,1
Biomass 46,bus103,biomass,1.2,0.36,12.12,4.36,2.4,1.91,6.36,0.0,25.2,5,8,1
Biomass 47,bus103,biomass,3.0,0.9,13.848999999999998,12.46,2.4,1.91,15.9,0.0,25.2,5,8,1
Biomass 48,bus103,biomass,3.0,0.9,13.848999999999998,12.46,2.4,1.91,15.9,0.0,25.2,5,8,1
Biomass 49,bus103,biomass,1.6,0.32,12.12,5.82,2.4,1.91,8.48,0.0,25.2,6,6,1
Biomass 50,bus103,biomass,0.9,0.27,12.119999999999997,3.2700000000000014,2.4,1.91,4.77,0.0,25.2,6,6,1
Biomass 51,bus103,biomass,0.9,0.18,12.119999999999997,3.2700000000000005,2.4,1.91,4.77,0.0,25.2,6,6,1
Biomass 52,bus103,biomass,3.0,0.9,12.12,10.909999999999998,2.4,1.91,15.9,0.0,25.2,6,6,1
Biomass 53,bus034,biomass,3.0,0.6,12.12,10.91,2.4,1.91,15.9,0.0,25.2,6,6,1
Biomass 54,bus034,biomass,3.0,0.6,12.12,10.91,2.4,1.91,15.9,0.0,25.2,6,6,1
Biomass 55,bus034,biomass,3.0,0.6,12.12,10.91,2.4,1.91,15.9,0.0,25.2,6,6,1
Biomass 56,bus012,biomass,4.6,1.38,12.120000000000001,16.729999999999997,2.4,1.91,24.38,0.0,25.2,8,8,1
Biomass 57,bus012,biomass,3.0,0.9,12.12,10.909999999999998,2.4,1.91,15.9,0.0,25.2,8,8,1
Biomass 58,bus012,biomass,3.0,0.9,12.12,10.909999999999998,2.4,1.91,15.9,0.0,25.2,8,8,1
Biomass 59,bus012,biomass,4.6,1.38,12.120000000000001,16.729999999999997,2.4,1.91,24.38,0.0,25.2,8,8,1
Biomass 60,bus012,biomass,3.0,0.9,12.12,10.909999999999998,2.4,1.91,15.9,0.0,25.2,8,8,1
Biomass 61,bus103,biomass,1.88,0.56,12.120000000000001,6.839999999999999,2.4,1.91,9.96,0.0,25.2,8,8,1
Biomass 62,bus034,biomass,7.5,2.25,13.5,30.379999999999995,2.4,1.91,39.75,0.0,25.2,5,8,1
CC NG 01,bus012,natural_gas,41.5,41.08,6.489000000000179,316.7799999999925,5.4,1.08,3475.54,0.0,16.8,8,6,1
CC NG 03,bus012,natural_gas,126.98,20.0,5.1484499999999995,817.44,5.4,1.08,10634.31,0.0,64.2,8,4,1
CC NG 04,bus012,natural_gas,320.0,160.0,6.460419999999999,1305.5299999999997,5.4,1.08,26799.33,0.0,150.0,8,4,1
CC NG 05,bus074,natural_gas,100.0,99.0,5.369869999999992,643.5300000000007,5.4,1.08,8374.79,0.0,43.8,12,8,1
CC NG 06,bus012,natural_gas,13.5,4.05,9.797706571428574,38.206410885714284,5.4,1.08,1130.6,0.0,150.0,6,6,1
CC NG 07,bus103,natural_gas,55.1,20.0,6.489000000000001,505.72999999999996,5.4,1.08,4614.51,0.0,24.0,8,4,1
CC NG 08,bus112,natural_gas,14.3,4.29,7.167449999999999,64.73000000000002,5.4,1.08,1197.59,0.0,150.0,6,6,1
CC NG 09,bus107,natural_gas,33.0,32.67,7.167449999999982,149.3700000000006,5.4,1.08,2763.68,0.0,150.0,6,6,1
CC NG 10,bus036,natural_gas,71.51,21.45299911,8.686691221012762,206.60811149537736,5.4,1.081302047,5988.812988,0.0,150.0,8,4,1
CC NG 11,bus066,natural_gas,596.4,328.02,6.296202617557198,2386.566061788888,5.4,1.08,49947.25,0.0,150.0,8,4,1
CC NG 12,bus046,natural_gas,150.0,60.0,9.515473126666663,738.1904124000002,5.4,1.08,12562.18,0.0,160.2,8,4,1
CC NG 13,bus012,natural_gas,57.3,20.0,6.488999999999998,437.38,5.4,1.08,4798.75,0.0,24.0,8,6,1
CC NG 14,bus049,natural_gas,164.75,65.9,7.985775014668689,639.7101855333336,5.4,1.08,13797.47,0.0,78.0,8,4,1
CC NG 15,bus034,natural_gas,27.0,8.1,11.263934285714289,118.51771228571423,5.4,1.08,2261.19,0.0,160.2,2,2,1
CC NG 16,bus012,natural_gas,943.5,503.86,6.2167798871804205,3418.739103045273,5.4,1.08,79016.14,0.0,399.0,8,4,1
CC NG 17,bus025,natural_gas,154.4,84.92,6.793960000000001,666.6973719999997,5.4,1.08,12930.68,0.0,150.0,8,4,1
CC NG 18,bus113,natural_gas,619.0,306.4,7.065123084772874,1859.715534825591,5.4,1.08,51839.95,0.0,265.2,8,4,1
CC NG 19,bus012,natural_gas,140.0,70.48,5.906279076524743,432.89226508653616,5.4,1.08,11724.71,0.0,52.2,8,4,1
CC NG 20,bus025,natural_gas,25.8,25.54,6.488999999999959,390.910000000001,5.4,1.08,2160.7,0.0,160.2,2,2,1
CC NG 21,bus026,natural_gas,315.0,141.75,8.072619999999999,832.56,5.4,1.08,26380.59,0.0,150.0,8,4,1
CC NG 22,bus026,natural_gas,677.8,385.59,5.916724264056672,2236.2457026223874,5.4,1.08,56764.33,0.0,478.2,8,4,1
CC NG 23,bus010,natural_gas,636.0,326.09,6.388342109322063,2207.2229555711683,5.4,1.08,53263.66,0.0,340.79999999999995,8,4,1
