line,from_node,to_node,capacity_mw,loss_factor
line001,bus001,bus002,600.0,0.0
line002,bus001,bus003,600.0,0.0
line003,bus004,bus005,1700.0,0.0
line004,bus003,bus005,600.0,0.0
line005,bus005,bus006,600.0,0.0
line006,bus006,bus007,600.0,0.0
line007,bus008,bus009,1700.0,0.0
line008,bus008,bus005,1700.0,0.0
line009,bus009,bus010,3500.0,0.0
line010,bus004,bus011,600.0,0.0
line011,bus005,bus011,600.0,0.0
line012,bus011,bus012,600.0,0.0
line013,bus002,bus012,600.0,0.0
line014,bus003,bus012,600.0,0.0
line015,bus007,bus012,600.0,0.0
line016,bus011,bus013,600.0,0.0
line017,bus012,bus014,600.0,0.0
line018,bus013,bus015,600.0,0.0
line019,bus014,bus015,600.0,0.0
line020,bus012,bus016,600.0,0.0
line021,bus015,bus017,1700.0,0.0
line022,bus016,bus017,600.0,0.0
line023,bus017,bus018,600.0,0.0
line024,bus018,bus019,600.0,0.0
line025,bus019,bus020,600.0,0.0
line026,bus015,bus019,600.0,0.0
line027,bus020,bus021,600.0,0.0
line028,bus021,bus022,600.0,0.0
line029,bus022,bus023,600.0,0.0
line030,bus023,bus024,600.0,0.0
line031,bus023,bus025,1700.0,0.0
line032,bus026,bus025,1700.0,0.0
line033,bus025,bus027,1700.0,0.0
line034,bus027,bus028,600.0,0.0
line035,bus028,bus029,600.0,0.0
line036,bus030,bus017,1700.0,0.0
line037,bus008,bus030,600.0,0.0
line038,bus026,bus030,1700.0,0.0
line039,bus017,bus031,600.0,0.0
line040,bus029,bus031,600.0,0.0
line041,bus023,bus032,600.0,0.0
line042,bus031,bus032,600.0,0.0
line043,bus027,bus032,600.0,0.0
line044,bus015,bus033,600.0,0.0
line045,bus019,bus034,600.0,0.0
line046,bus035,bus036,600.0,0.0
line047,bus035,bus037,600.0,0.0
line048,bus033,bus037,600.0,0.0
line049,bus034,bus036,600.0,0.0
line050,bus034,bus037,1700.0,0.0
line051,bus038,bus037,1700.0,0.0
line052,bus037,bus039,600.0,0.0
line053,bus037,bus040,600.0,0.0
line054,bus030,bus038,600.0,0.0
line055,bus039,bus040,600.0,0.0
line056,bus040,bus041,600.0,0.0
line057,bus040,bus042,600.0,0.0
line058,bus041,bus042,600.0,0.0
line059,bus043,bus044,600.0,0.0
line060,bus034,bus043,600.0,0.0
line061,bus044,bus045,600.0,0.0
line062,bus045,bus046,600.0,0.0
line063,bus046,bus047,600.0,0.0
line064,bus046,bus048,600.0,0.0
line065,bus047,bus049,600.0,0.0
line066,bus042,bus049,600.0,0.0
line067,bus042,bus049,600.0,0.0
line068,bus045,bus049,600.0,0.0
line069,bus048,bus049,600.0,0.0
line070,bus049,bus050,600.0,0.0
line071,bus049,bus051,600.0,0.0
line072,bus051,bus052,600.0,0.0
line073,bus052,bus053,600.0,0.0
line074,bus053,bus054,600.0,0.0
line075,bus049,bus054,600.0,0.0
line076,bus049,bus054,600.0,0.0
line077,bus054,bus055,600.0,0.0
line078,bus054,bus056,600.0,0.0
line079,bus055,bus056,600.0,0.0
line080,bus056,bus057,600.0,0.0
line081,bus050,bus057,600.0,0.0
line082,bus056,bus058,600.0,0.0
line083,bus051,bus058,600.0,0.0
line084,bus054,bus059,600.0,0.0
line085,bus056,bus059,600.0,0.0
line086,bus056,bus059,600.0,0.0
line087,bus055,bus059,600.0,0.0
line088,bus059,bus060,600.0,0.0
line089,bus059,bus061,600.0,0.0
line090,bus060,bus061,1700.0,0.0
line091,bus060,bus062,600.0,0.0
line092,bus061,bus062,600.0,0.0
line093,bus063,bus059,1700.0,0.0
line094,bus063,bus064,1700.0,0.0
line095,bus064,bus061,1700.0,0.0
line096,bus038,bus065,1700.0,0.0
line097,bus064,bus065,1700.0,0.0
line098,bus049,bus066,1700.0,0.0
line099,bus049,bus066,1700.0,0.0
line100,bus062,bus066,600.0,0.0
line101,bus062,bus067,600.0,0.0
line102,bus065,bus066,1700.0,0.0
line103,bus066,bus067,600.0,0.0
line104,bus065,bus068,1700.0,0.0
line105,bus047,bus069,600.0,0.0
line106,bus049,bus069,600.0,0.0
line107,bus068,bus069,1700.0,0.0
line108,bus069,bus070,1700.0,0.0
line109,bus024,bus070,600.0,0.0
line110,bus070,bus071,600.0,0.0
line111,bus024,bus072,600.0,0.0
line112,bus071,bus072,600.0,0.0
line113,bus071,bus073,600.0,0.0
line114,bus070,bus074,600.0,0.0
line115,bus070,bus075,600.0,0.0
line116,bus069,bus075,1700.0,0.0
line117,bus074,bus075,600.0,0.0
line118,bus076,bus077,600.0,0.0
line119,bus069,bus077,600.0,0.0
line120,bus075,bus077,600.0,0.0
line121,bus077,bus078,600.0,0.0
line122,bus078,bus079,600.0,0.0
line123,bus077,bus080,1700.0,0.0
line124,bus077,bus080,1700.0,0.0
line125,bus079,bus080,600.0,0.0
line126,bus068,bus081,1700.0,0.0
line127,bus081,bus080,1700.0,0.0
line128,bus077,bus082,700.0,0.0
line129,bus082,bus083,1700.0,0.0
line130,bus083,bus084,600.0,0.0
line131,bus083,bus085,600.0,0.0
line132,bus084,bus085,600.0,0.0
line133,bus085,bus086,3500.0,0.0
line134,bus086,bus087,3500.0,0.0
line135,bus085,bus088,1700.0,0.0
line136,bus085,bus089,600.0,0.0
line137,bus088,bus089,1700.0,0.0
line138,bus089,bus090,1700.0,0.0
line139,bus089,bus090,1700.0,0.0
line140,bus090,bus091,600.0,0.0
line141,bus089,bus092,1700.0,0.0
line142,bus089,bus092,1700.0,0.0
line143,bus091,bus092,600.0,0.0
line144,bus092,bus093,600.0,0.0
line145,bus092,bus094,600.0,0.0
line146,bus093,bus094,600.0,0.0
line147,bus094,bus095,600.0,0.0
line148,bus080,bus096,600.0,0.0
line149,bus082,bus096,600.0,0.0
line150,bus094,bus096,600.0,0.0
line151,bus080,bus097,600.0,0.0
line152,bus080,bus098,600.0,0.0
line153,bus080,bus099,700.0,0.0
line154,bus092,bus100,600.0,0.0
line155,bus094,bus100,600.0,0.0
line156,bus095,bus096,600.0,0.0
line157,bus096,bus097,600.0,0.0
line158,bus098,bus100,600.0,0.0
line159,bus099,bus100,600.0,0.0
line160,bus100,bus101,600.0,0.0
line161,bus092,bus102,600.0,0.0
line162,bus101,bus102,600.0,0.0
line163,bus100,bus103,1700.0,0.0
line164,bus100,bus104,600.0,0.0
line165,bus103,bus104,600.0,0.0
line166,bus103,bus105,600.0,0.0
line167,bus100,bus106,600.0,0.0
line168,bus104,bus105,600.0,0.0
line169,bus105,bus106,600.0,0.0
line170,bus105,bus107,600.0,0.0
line171,bus105,bus108,600.0,0.0
line172,bus106,bus107,600.0,0.0
line173,bus108,bus109,600.0,0.0
line174,bus103,bus110,600.0,0.0
line175,bus109,bus110,600.0,0.0
line176,bus110,bus111,600.0,0.0
line177,bus110,bus112,600.0,0.0
line178,bus017,bus113,600.0,0.0
line179,bus032,bus113,1700.0,0.0
line180,bus032,bus114,600.0,0.0
line181,bus027,bus115,600.0,0.0
line182,bus114,bus115,600.0,0.0
line183,bus068,bus116,1700.0,0.0
line184,bus012,bus117,600.0,0.0
line185,bus075,bus118,600.0,0.0
line186,bus076,bus118,600.0,0.0
