node,latitude,longitude
bus001,0.0,0.0
bus002,0.0,0.0
bus003,0.0,0.0
bus004,0.0,0.0
bus005,0.0,0.0
bus006,0.0,0.0
bus007,0.0,0.0
bus008,0.0,0.0
bus009,0.0,0.0
bus010,0.0,0.0
bus011,0.0,0.0
bus012,0.0,0.0
bus013,0.0,0.0
bus014,0.0,0.0
bus015,0.0,0.0
bus016,0.0,0.0
bus017,0.0,0.0
bus018,0.0,0.0
bus019,0.0,0.0
bus020,0.0,0.0
bus021,0.0,0.0
bus022,0.0,0.0
bus023,0.0,0.0
bus024,0.0,0.0
bus025,0.0,0.0
bus026,0.0,0.0
bus027,0.0,0.0
bus028,0.0,0.0
bus029,0.0,0.0
bus030,0.0,0.0
bus031,0.0,0.0
bus032,0.0,0.0
bus033,0.0,0.0
bus034,0.0,0.0
bus035,0.0,0.0
bus036,0.0,0.0
bus037,0.0,0.0
bus038,0.0,0.0
bus039,0.0,0.0
bus040,0.0,0.0
bus041,0.0,0.0
bus042,0.0,0.0
bus043,0.0,0.0
bus044,0.0,0.0
bus045,0.0,0.0
bus046,0.0,0.0
bus047,0.0,0.0
bus048,0.0,0.0
bus049,0.0,0.0
bus050,0.0,0.0
bus051,0.0,0.0
bus052,0.0,0.0
bus053,0.0,0.0
bus054,0.0,0.0
bus055,0.0,0.0
bus056,0.0,0.0
bus057,0.0,0.0
bus058,0.0,0.0
bus059,0.0,0.0
bus060,0.0,0.0
bus061,0.0,0.0
bus062,0.0,0.0
bus063,0.0,0.0
bus064,0.0,0.0
bus065,0.0,0.0
bus066,0.0,0.0
bus067,0.0,0.0
bus068,0.0,0.0
bus069,0.0,0.0
bus070,0.0,0.0
bus071,0.0,0.0
bus072,0.0,0.0
bus073,0.0,0.0
bus074,0.0,0.0
bus075,0.0,0.0
bus076,0.0,0.0
bus077,0.0,0.0
bus078,0.0,0.0
bus079,0.0,0.0
bus080,0.0,0.0
bus081,0.0,0.0
bus082,0.0,0.0
bus083,0.0,0.0
bus084,0.0,0.0
bus085,0.0,0.0
bus086,0.0,0.0
bus087,0.0,0.0
bus088,0.0,0.0
bus089,0.0,0.0
bus090,0.0,0.0
bus091,0.0,0.0
bus092,0.0,0.0
bus093,0.0,0.0
bus094,0.0,0.0
bus095,0.0,0.0
bus096,0.0,0.0
bus097,0.0,0.0
bus098,0.0,0.0
bus099,0.0,0.0
bus100,0.0,0.0
bus101,0.0,0.0
bus102,0.0,0.0
bus103,0.0,0.0
bus104,0.0,0.0
bus105,0.0,0.0
bus106,0.0,0.0
bus107,0.0,0.0
bus108,0.0,0.0
bus109,0.0,0.0
bus110,0.0,0.0
bus111,0.0,0.0
bus112,0.0,0.0
bus113,0.0,0.0
bus114,0.0,0.0
bus115,0.0,0.0
bus116,0.0,0.0
bus117,0.0,0.0
bus118,0.0,0.0
