hour,Region_R1,Region_R2,Region_R3
0,4806.656,2330.4811,1660.0149
1,4514.038,2215.3131,1595.5907
2,4419.8818,2123.7337,1521.3321
3,4389.1387,2067.8664,1476.481
4,4464.6401,2094.3359,1470.1883
5,4661.7456,2161.2311,1504.1767
6,4848.8366,2251.4516,1581.2811
7,5076.6956,2298.1945,1668.4842
8,5271.1136,2386.893,1837.2204
9,5407.5102,2500.2863,1976.5678
10,5464.0567,2587.1207,2069.0833
11,5500.0131,2611.7971,2106.5635
12,5489.8497,2593.0247,2119.351
13,5478.5618,2561.8286,2132.2116
14,5531.5551,2541.4973,2133.338
15,5587.5355,2515.0068,2135.8039
16,6055.3143,2645.5505,2308.2822
17,6466.7484,3159.8413,2840.8314
18,6387.3883,3205.0384,2903.0852
19,6266.8445,3183.2561,2877.2038
20,6130.9068,3127.3152,2801.738
21,5833.4061,2970.4626,2599.7357
22,5344.7014,2676.9281,2255.7452
23,4988.6773,2448.4958,2020.1183
24,4551.1326,2032.4147,1554.5424
25,4474.0463,1962.2833,1490.3716
26,4264.6186,1847.3101,1460.8818
27,4205.3153,1841.0298,1513.9721
28,4226.8376,1851.8946,1557.9782
29,4327.1461,1917.1362,1660.7044
30,4479.5158,2013.4449,1787.3125
31,4759.5519,2212.1664,1878.1738
32,5024.3948,2440.404,1983.7785
33,5209.604,2605.0958,2069.1393
34,5288.4302,2617.6905,2111.3824
35,5318.3086,2585.2776,2137.9874
36,5252.1215,2496.9317,2082.9957
37,5178.848,2423.9615,2039.8702
38,5141.0428,2368.1127,2078.2981
39,5185.9639,2396.0226,2268.8981
40,5699.8227,2673.8209,2237.9205
41,6229.897,2907.2194,2318.5177
42,6293.0348,2946.1125,2248.0962
43,6237.8308,2918.0947,2089.4774
44,6046.6128,2806.234,1898.7327
45,5798.812,2670.9794,1787.5886
46,5267.2791,2428.5013,1664.3433
47,4744.0696,2147.2774,1563.922
48,4654.7995,2069.3516,1617.5479
49,4594.3995,1948.206,1484.4465
50,4696.6244,2039.8434,1550.6307
51,5043.0364,2247.9628,1719.7182
52,5633.5332,2634.6172,2090.7055
53,5903.4526,2858.4335,2421.8696
54,6035.8157,3048.0042,2395.193
55,6315.0581,3054.3661,2357.621
56,6472.255,2976.8218,2397.0991
57,6564.9041,2905.45,2422.6897
