hour,122_HYDRO_1,122_HYDRO_2,122_HYDRO_3,122_HYDRO_4,122_HYDRO_5,122_HYDRO_6,201_HYDRO_4,215_HYDRO_1,215_HYDRO_2,215_HYDRO_3,222_HYDRO_1,222_HYDRO_2,222_HYDRO_3,222_HYDRO_4,222_HYDRO_5,222_HYDRO_6,322_HYDRO_1,322_HYDRO_2,322_HYDRO_3,322_HYDRO_4,320_PV_1,314_PV_1,314_PV_2,313_PV_1,314_PV_3,314_PV_4,313_PV_2,310_PV_1,324_PV_1,312_PV_1,310_PV_2,324_PV_2,324_PV_3,113_PV_1,319_PV_1,215_PV_1,102_PV_1,101_PV_1,102_PV_2,104_PV_1,212_CSP_1,101_PV_2,101_PV_3,101_PV_4,103_PV_1,119_PV_1,308_RTPV_1,313_RTPV_1,313_RTPV_2,313_RTPV_3,313_RTPV_4,313_RTPV_5,313_RTPV_6,313_RTPV_7,313_RTPV_8,313_RTPV_9,313_RTPV_10,313_RTPV_11,313_RTPV_12,320_RTPV_1,320_RTPV_2,320_RTPV_3,313_RTPV_13,320_RTPV_4,320_RTPV_5,118_RTPV_1,118_RTPV_2,118_RTPV_3,118_RTPV_4,118_RTPV_5,118_RTPV_6,320_RTPV_6,118_RTPV_7,118_RTPV_8,118_RTPV_9,118_RTPV_10,213_RTPV_1,309_WIND_1,317_WIND_1,303_WIND_1,122_WIND_1
0,0.084,0.084,0.084,0.084,0.084,0.084,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96291,0.99499,0.56765,0.99958
1,0.076,0.076,0.076,0.076,0.076,0.076,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.406,0.406,0.406,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93796,0.99412,0.74959,0.99902
2,0.076,0.076,0.076,0.076,0.076,0.076,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.24,0.24,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97977,0.96809,0.57532,0.99285
3,0.084,0.084,0.084,0.084,0.084,0.084,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.238,0.238,0.238,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764,0.96021,0.51086,0.99608
4,0.076,0.076,0.076,0.076,0.076,0.076,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.234,0.234,0.234,0.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92448,0.94131,0.48158,0.98304
5,0.076,0.076,0.076,0.076,0.076,0.076,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.136,0.136,0.136,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66487,0.90026,0.51972,0.95655
6,0.084,0.084,0.084,0.084,0.084,0.084,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.152,0.152,0.152,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41942,0.82005,0.44545,0.86153
7,0.076,0.076,0.076,0.076,0.076,0.076,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.384,0.384,0.384,0.384,0.46318,0.4593,0.45155,0.32702,0.34412,0.44961,0.33333,0.36944,0.4507,0.27736,0.37016,0.35271,0.35686,0.53098,0.47609,0.50999,0.59766,0.57143,0.59289,0.55597,0.0,0.56929,0.58397,0.55814,0.24228,0.2042,0.13181,0.13176,0.15214,0.12385,0.12985,0.14198,0.14263,0.14977,0.13213,0.15385,0.14499,0.15337,0.15468,0.15751,0.15926,0.15901,0.16544,0.14815,0.16312,0.17204,0.16495,0.18085,0.17582,0.17582,0.15464,0.17021,0.15254,0.16964,0.15534,0.17778,0.17424,0.31895,0.74409,0.2353,0.72558
8,0.076,0.076,0.076,0.076,0.076,0.076,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.218,0.218,0.218,0.218,0.59496,0.59302,0.64922,0.50263,0.53937,0.64922,0.51447,0.59381,0.65594,0.51753,0.59496,0.61434,0.62157,0.67415,0.65887,0.65787,0.71875,0.67181,0.71937,0.65299,0.03,0.69288,0.71374,0.68605,0.4748,0.42492,0.3558,0.35398,0.36609,0.33333,0.34478,0.35185,0.36834,0.36973,0.35586,0.37821,0.35874,0.3865,0.3777,0.38828,0.38889,0.37102,0.38603,0.36667,0.39007,0.39785,0.38144,0.39362,0.40659,0.38462,0.37113,0.38298,0.34746,0.375,0.36893,0.37778,0.37879,0.32974,0.72469,0.13058,0.5979
9,0.076,0.076,0.076,0.076,0.076,0.076,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.654,0.654,0.654,0.654,0.67636,0.6686,0.67636,0.61409,0.65696,0.67636,0.63023,0.64603,0.6841,0.62699,0.64729,0.69186,0.69804,0.71154,0.72635,0.68825,0.74219,0.7027,0.74308,0.68284,0.0,0.71536,0.74046,0.6938,0.62276,0.56156,0.52428,0.52114,0.53724,0.49388,0.51045,0.51852,0.51881,0.53822,0.51201,0.55449,0.52018,0.56748,0.55755,0.56777,0.57407,0.5371,0.55515,0.53704,0.56738,0.53763,0.51546,0.54255,0.56044,0.53846,0.51546,0.53191,0.50847,0.54464,0.53398,0.55556,0.5303,0.20701,0.58416,0.00425,0.3843
