hour,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,Node_122,Node_123,Node_124,Node_201,Node_202,Node_203,Node_204,Node_205,Node_206,Node_207,Node_208,Node_209,Node_210,Node_211,Node_212,Node_213,Node_214,Node_215,Node_216,Node_217,Node_218,Node_219,Node_220,Node_221,Node_222,Node_223,Node_224,Node_301,Node_302,Node_303,Node_304,Node_305,Node_306,Node_307,Node_308,Node_309,Node_310,Node_311,Node_312,Node_313,Node_314,Node_315,Node_316,Node_317,Node_318,Node_319,Node_320,Node_321,Node_322,Node_323,Node_324,Node_325
0,37.3271,33.5252,62.2118,25.576,24.5391,47.0045,43.2026,59.1012,60.4837,67.3961,0.0,0.0,91.5896,67.0505,109.5619,34.5621,0.0,115.0918,62.5574,44.2395,0.0,0.0,0.0,0.0,41.7856,37.5297,69.6427,28.6309,27.4702,52.6189,48.363,66.1606,67.7082,75.4462,0.0,0.0,102.5295,75.0593,122.6485,38.6904,0.0,128.839,70.0296,49.5237,0.0,0.0,0.0,0.0,47.3546,42.5315,78.9244,32.4467,31.1313,59.6318,54.8086,74.9782,76.732,85.5014,0.0,0.0,116.1942,85.063,138.9946,43.8469,0.0,146.0101,79.3629,56.124,0.0,0.0,0.0,0.0,0.0
1,37.3538,33.5492,62.2563,25.5943,24.5567,47.0381,43.2335,59.1435,60.527,67.4443,0.0,0.0,91.6551,67.0985,109.6403,34.5868,0.0,115.1742,62.6022,44.2712,0.0,0.0,0.0,0.0,41.0376,36.8579,68.396,28.1184,26.9784,51.677,47.4972,64.9762,66.4961,74.0957,0.0,0.0,100.6942,73.7157,120.453,37.9978,0.0,126.5327,68.776,48.6372,0.0,0.0,0.0,0.0,45.1851,40.5829,75.3084,30.9601,29.705,56.8997,52.2975,71.543,73.2165,81.5842,0.0,0.0,110.8708,81.1658,132.6265,41.838,0.0,139.3206,75.7268,53.5527,0.0,0.0,0.0,0.0,0.0
2,37.955,34.0892,63.2583,26.0062,24.9519,47.7952,43.9294,60.0954,61.5011,68.5298,0.0,0.0,93.1303,68.1784,111.4049,35.1435,0.0,117.0278,63.6097,44.9837,0.0,0.0,0.0,0.0,40.9186,36.751,68.1977,28.0368,26.9002,51.5272,47.3595,64.7878,66.3033,73.8808,0.0,0.0,100.4022,73.502,120.1037,37.8876,0.0,126.1657,68.5766,48.4961,0.0,0.0,0.0,0.0,44.1772,39.6776,73.6286,30.2695,29.0424,55.6305,51.131,69.9472,71.5834,79.7643,0.0,0.0,108.3977,79.3553,129.6681,40.9048,0.0,136.2129,74.0376,52.3581,0.0,0.0,0.0,0.0,0.0
3,39.2642,35.2651,65.4404,26.9033,25.8126,49.4438,45.4447,62.1684,63.6226,70.8937,0.0,0.0,96.3428,70.5302,115.2478,36.3558,0.0,121.0647,65.8039,46.5354,0.0,0.0,0.0,0.0,40.8676,36.7052,68.1127,28.0019,26.8667,51.4629,47.3005,64.7071,66.2207,73.7888,0.0,0.0,100.277,73.4104,119.954,37.8404,0.0,126.0085,68.4911,48.4357,0.0,0.0,0.0,0.0,43.5792,39.1406,72.6321,29.8599,28.6493,54.8776,50.4389,69.0005,70.6145,78.6848,0.0,0.0,106.9306,78.2812,127.9132,40.3512,0.0,134.3693,73.0356,51.6495,0.0,0.0,0.0,0.0,0.0
4,43.192,38.7928,71.9866,29.5945,28.3947,54.3899,49.9907,68.3873,69.987,77.9855,0.0,0.0,105.9803,77.5856,126.7765,39.9926,0.0,133.1753,72.3866,51.1905,0.0,0.0,0.0,0.0,41.6496,37.4075,69.416,28.5377,27.3808,52.4477,48.2056,65.9452,67.4878,75.2007,0.0,0.0,102.1958,74.815,122.2493,38.5645,0.0,128.4196,69.8017,49.3625,0.0,0.0,0.0,0.0,44.1088,39.6163,73.5147,30.2227,28.9975,55.5444,51.0519,69.839,71.4726,79.6409,0.0,0.0,108.23,79.2325,129.4676,40.8415,0.0,136.0022,73.9231,52.2771,0.0,0.0,0.0,0.0,0.0
5,48.763,43.7964,81.2716,33.4117,32.0571,61.4052,56.4386,77.2081,79.0141,88.0443,0.0,0.0,119.6499,87.5928,143.1284,45.1509,0.0,150.3525,81.7232,57.7932,0.0,0.0,0.0,0.0,43.8086,39.3466,73.0143,30.017,28.8001,55.1664,50.7044,69.3636,70.9861,79.0989,0.0,0.0,107.4933,78.6932,128.5863,40.5635,0.0,135.0765,73.42,51.9213,0.0,0.0,0.0,0.0,46.5859,41.841,77.6432,31.92,30.6259,58.6637,53.9189,73.761,75.4864,84.1134,0.0,0.0,114.308,83.6821,136.7382,43.1351,0.0,143.6398,78.0745,55.2129,0.0,0.0,0.0,0.0,0.0
6,51.0475,45.8482,85.0792,34.977,33.559,64.282,59.0828,80.8252,82.7159,92.1691,0.0,0.0,125.2554,91.6964,149.8339,47.2662,0.0,157.3965,85.5518,60.5007,0.0,0.0,0.0,0.0,46.7326,41.9728,77.8876,32.0205,30.7223,58.8484,54.0886,73.9932,75.7241,84.3782,0.0,0.0,114.6679,83.9455,137.1687,43.2709,0.0,144.0921,78.3203,55.3867,0.0,0.0,0.0,0.0,51.8475,46.5668,86.4125,35.5252,34.0849,65.2895,60.0087,82.0919,84.0122,93.6136,0.0,0.0,127.2184,93.1335,152.1821,48.007,0.0,159.8632,86.8926,61.4489,0.0,0.0,0.0,0.0,0.0
7,49.4711,44.4323,82.4518,33.8968,32.5226,62.2969,57.2582,78.3292,80.1614,89.3227,0.0,0.0,121.3873,88.8647,145.2067,45.8065,0.0,152.5357,82.9098,58.6324,0.0,0.0,0.0,0.0,46.2566,41.5453,77.0943,31.6943,30.4094,58.249,53.5377,73.2396,74.9528,83.5188,0.0,0.0,113.4999,83.0905,135.7716,42.8302,0.0,142.6244,77.5226,54.8226,0.0,0.0,0.0,0.0,55.3496,49.7121,92.2493,37.9247,36.3872,69.6995,64.062,87.6368,89.6868,99.9367,0.0,0.0,135.8115,99.4242,162.4612,51.2496,0.0,170.6612,92.7618,65.5995,0.0,0.0,0.0,0.0,0.0
8,46.7056,41.9485,77.8427,32.002,30.7046,58.8144,54.0574,73.9505,75.6804,84.3295,0.0,0.0,114.6017,83.8971,137.0896,43.2459,0.0,144.0089,78.2751,55.3548,0.0,0.0,0.0,0.0,45.6276,40.9803,76.046,31.2633,29.9959,57.4569,52.8097,72.2437,73.9336,82.3831,0.0,0.0,111.9566,81.9606,133.9254,42.2478,0.0,140.685,76.4684,54.0771,0.0,0.0,0.0,0.0,59.347,53.3024,98.9117,40.6637,39.0152,74.7333,68.6887,93.9661,96.1642,107.1544,0.0,0.0,145.6201,106.6049,174.1946,54.951,0.0,182.9867,99.4612,70.3372,0.0,0.0,0.0,0.0,0.0
9,44.8753,40.3047,74.7922,30.7479,29.5014,56.5096,51.939,71.0526,72.7146,81.0249,0.0,0.0,110.1107,80.6094,131.7173,41.5512,0.0,138.3655,75.2077,53.1856,0.0,0.0,0.0,0.0,45.8316,41.1635,76.386,31.4031,30.13,57.7138,53.0458,72.5667,74.2641,82.7515,0.0,0.0,112.4571,82.3271,134.5242,42.4366,0.0,141.314,76.8103,54.3189,0.0,0.0,0.0,0.0,62.0974,55.7727,103.4957,42.5482,40.8233,78.1968,71.872,98.3209,100.6208,112.1204,0.0,0.0,152.3687,111.5454,182.2675,57.4976,0.0,191.4671,104.0707,73.597,0.0,0.0,0.0,0.0,0.0
