line,from_node,to_node,capacity_mw,loss_factor
A1,Node_101,Node_102,175,0.01
A2,Node_101,Node_103,175,0.01
A3,Node_101,Node_105,175,0.01
A4,Node_102,Node_104,175,0.01
A5,Node_102,Node_106,175,0.01
A6,Node_103,Node_109,175,0.01
A7,Node_103,Node_124,400,0.01
A8,Node_104,Node_109,175,0.01
A9,Node_105,Node_110,175,0.01
A10,Node_106,Node_110,175,0.01
A11,Node_107,Node_108,175,0.01
AB1,Node_107,Node_203,175,0.01
A12-1,Node_108,Node_109,175,0.01
A13-2,Node_108,Node_110,175,0.01
A14,Node_109,Node_111,400,0.01
A15,Node_109,Node_112,400,0.01
A16,Node_110,Node_111,400,0.01
A17,Node_110,Node_112,400,0.01
A18,Node_111,Node_113,500,0.01
A19,Node_111,Node_114,500,0.01
A20,Node_112,Node_113,500,0.01
A21,Node_112,Node_123,500,0.01
A22,Node_113,Node_123,500,0.01
AB2,Node_113,Node_215,500,0.01
A23,Node_114,Node_116,500,0.01
A24,Node_115,Node_116,500,0.01
A25-1,Node_115,Node_121,500,0.01
A25-2,Node_115,Node_121,500,0.01
A26,Node_115,Node_124,500,0.01
A27,Node_116,Node_117,500,0.01
A28,Node_116,Node_119,500,0.01
A29,Node_117,Node_118,500,0.01
A30,Node_117,Node_122,500,0.01
A31-1,Node_118,Node_121,500,0.01
A31-2,Node_118,Node_121,500,0.01
A32-1,Node_119,Node_120,500,0.01
A32-2,Node_119,Node_120,500,0.01
A33-1,Node_120,Node_123,500,0.01
A33-2,Node_120,Node_123,500,0.01
A34,Node_121,Node_122,500,0.01
AB3,Node_123,Node_217,500,0.01
B1,Node_201,Node_202,175,0.01
B2,Node_201,Node_203,175,0.01
B3,Node_201,Node_205,175,0.01
B4,Node_202,Node_204,175,0.01
B5,Node_202,Node_206,175,0.01
B6,Node_203,Node_209,175,0.01
B7,Node_203,Node_224,400,0.01
B8,Node_204,Node_209,175,0.01
B9,Node_205,Node_210,175,0.01
B10,Node_206,Node_210,175,0.01
B11,Node_207,Node_208,175,0.01
B12-1,Node_208,Node_209,175,0.01
B13-2,Node_208,Node_210,175,0.01
B14,Node_209,Node_211,400,0.01
B15,Node_209,Node_212,400,0.01
B16,Node_210,Node_211,400,0.01
B17,Node_210,Node_212,400,0.01
B18,Node_211,Node_213,500,0.01
B19,Node_211,Node_214,500,0.01
B20,Node_212,Node_213,500,0.01
B21,Node_212,Node_223,500,0.01
B22,Node_213,Node_223,500,0.01
B23,Node_214,Node_216,500,0.01
B24,Node_215,Node_216,500,0.01
B25-1,Node_215,Node_221,500,0.01
B25-2,Node_215,Node_221,500,0.01
B26,Node_215,Node_224,500,0.01
B27,Node_216,Node_217,500,0.01
B28,Node_216,Node_219,500,0.01
B29,Node_217,Node_218,500,0.01
B30,Node_217,Node_222,500,0.01
B31-1,Node_218,Node_221,500,0.01
B31-2,Node_218,Node_221,500,0.01
B32-1,Node_219,Node_220,500,0.01
B32-2,Node_219,Node_220,500,0.01
B33-1,Node_220,Node_223,500,0.01
B33-2,Node_220,Node_223,500,0.01
B34,Node_221,Node_222,500,0.01
C1,Node_301,Node_302,175,0.01
C2,Node_301,Node_303,175,0.01
C3,Node_301,Node_305,175,0.01
C4,Node_302,Node_304,175,0.01
C5,Node_302,Node_306,175,0.01
C6,Node_303,Node_309,175,0.01
C7,Node_303,Node_324,400,0.01
C8,Node_304,Node_309,175,0.01
C9,Node_305,Node_310,175,0.01
C10,Node_306,Node_310,175,0.01
C11,Node_307,Node_308,175,0.01
C12-1,Node_308,Node_309,175,0.01
C13-2,Node_308,Node_310,175,0.01
C14,Node_309,Node_311,400,0.01
C15,Node_309,Node_312,400,0.01
C16,Node_310,Node_311,400,0.01
C17,Node_310,Node_312,400,0.01
C18,Node_311,Node_313,500,0.01
C19,Node_311,Node_314,500,0.01
C20,Node_312,Node_313,500,0.01
C21,Node_312,Node_323,500,0.01
C22,Node_313,Node_323,500,0.01
C23,Node_314,Node_316,500,0.01
C24,Node_315,Node_316,500,0.01
C25-1,Node_315,Node_321,500,0.01
C25-2,Node_315,Node_321,500,0.01
C26,Node_315,Node_324,500,0.01
C27,Node_316,Node_317,500,0.01
C28,Node_316,Node_319,500,0.01
C29,Node_317,Node_318,500,0.01
C30,Node_317,Node_322,500,0.01
C31-1,Node_318,Node_321,500,0.01
C31-2,Node_318,Node_321,500,0.01
C32-1,Node_319,Node_320,500,0.01
C32-2,Node_319,Node_320,500,0.01
C33-1,Node_320,Node_323,500,0.01
C33-2,Node_320,Node_323,500,0.01
C34,Node_321,Node_322,500,0.01
CA-1,Node_325,Node_121,500,0.01
CB-1,Node_318,Node_223,500,0.01
C35,Node_323,Node_325,722,0.01
DC1,Node_113,Node_316,100,0.01
