hour,Area_1,Area_2,Area_3
0,985.0198,1102.6759,1249.6362
1,985.7249,1082.9372,1192.3837
2,1001.5896,1079.7969,1165.7861
3,1036.1393,1078.4511,1150.0079
4,1139.7885,1099.087,1163.9829
5,1286.8011,1156.0601,1229.3499
6,1347.0868,1233.2205,1368.1984
7,1305.4861,1220.6595,1460.6137
8,1232.5087,1204.0611,1566.1025
9,1184.2096,1209.4444,1638.6824
10,1153.1853,1181.1821,1688.7219
11,1129.212,1174.0044,1710.8115
12,1107.7066,1174.9016,1698.1889
13,1093.9572,1161.892,1702.6969
14,1087.6113,1157.4059,1684.2139
15,1091.4894,1161.892,1659.4195
16,1170.4602,1193.7431,1693.23
17,1280.1027,1409.0745,1888.8801
18,1266.0007,1428.3646,1860.0285
19,1245.2004,1406.8314,1797.3663
20,1204.6573,1371.3915,1715.7703
21,1117.5779,1296.9227,1601.7162
22,1031.2036,1210.7902,1465.1218
23,991.0131,1138.5645,1324.0193
24,970.9179,1097.2926,1236.112
25,968.45,1082.4886,1187.8757
26,977.9688,1074.8623,1153.6144
27,1011.4609,1077.1053,1137.3853
28,1097.8352,1097.2926,1145.049
29,1221.2271,1155.1629,1213.1208
30,1274.1094,1236.3608,1346.1088
31,1224.7526,1215.2762,1426.8032
32,1174.6907,1204.0611,1535.4476
33,1150.3649,1192.8459,1617.4945
34,1128.5069,1185.2196,1686.4679
35,1120.7509,1177.5933,1733.8026
36,1112.6423,1164.1351,1754.0889
37,1101.7133,1163.6864,1784.2929
38,1099.2454,1152.9199,1782.9405
39,1101.3607,1147.088,1745.5236
40,1163.0567,1215.7249,1735.155
41,1265.2956,1386.6441,1889.3309
42,1256.1294,1402.3453,1860.9301
43,1222.9899,1397.4107,1775.7276
44,1176.1009,1358.8305,1695.484
45,1094.6623,1283.9131,1583.2332
46,1009.3456,1206.7527,1438.5242
47,963.8669,1135.8728,1309.1427
48,948.7073,1099.5357,1219.8829
49,932.8427,1086.5261,1172.0974
50,940.9513,1076.6567,1148.2047
51,970.9179,1080.6942,1131.9756
52,1049.5361,1102.2273,1131.5248
53,1176.1009,1164.5837,1191.4821
54,1231.8036,1249.819,1318.6096
55,1203.5997,1222.454,1405.6153
56,1164.8194,1214.8276,1545.3654
57,1149.3073,1204.0611,1624.7074
58,1139.0834,1192.8459,1708.1066
59,1126.3916,1178.4905,1771.2196
60,1116.8728,1169.5183,1789.2518
61,1110.1744,1154.7143,1816.751
62,1102.7709,1149.7796,1816.751
63,1099.9505,1142.1533,1784.2929
64,1141.5512,1085.1802,1749.5808
65,1234.2714,1354.3444,1863.1841
66,1206.4201,1360.6249,1803.2268
67,1166.5821,1341.3348,1718.926
68,1139.7885,1308.5865,1622.9041
69,1085.496,1264.623,1529.5872
70,1014.6338,1211.6874,1413.7298
71,967.3924,1150.6768,1306.8886
72,947.6497,1109.8536,1214.9241
73,934.2528,1093.2552,1168.0402
74,941.6564,1086.9747,1130.1724
75,953.9955,1082.9372,1106.7305
76,998.7692,1095.0496,1102.6732
77,1062.5804,1120.1716,1127.4676
78,1118.9881,1148.8824,1165.3353
79,1142.9614,1126.9007,1187.4249
80,1136.9681,1138.1159,1271.7257
81,1122.5136,1143.0505,1357.379
82,1105.9438,1131.3867,1411.025
83,1083.3808,1106.2648,1434.0161
84,1061.1702,1117.9285,1432.6637
85,1038.6071,1105.8162,1408.771
86,1034.7291,1099.9843,1384.4274
87,1045.3055,1082.9372,1362.3379
88,1113.3474,1149.7796,1379.4685
89,1206.7726,1322.0447,1543.1114
90,1181.7417,1323.8391,1587.7412
91,1153.1853,1304.1004,1551.2259
92,1112.2897,1274.4924,1506.596
93,1055.5294,1237.258,1442.5815
94,996.3013,1191.0515,1354.2233
95,963.1618,1141.7047,1275.3322
96,947.6497,1106.7134,1200.9491
97,941.6564,1088.3205,1156.3192
98,946.592,1072.6192,1134.2297
99,964.9245,1071.722,1118.9022
100,999.8268,1079.3483,1114.845
101,1063.638,1097.7412,1115.2958
102,1124.9814,1117.0313,1134.6805
103,1145.4292,1095.0496,1130.6232
104,1128.1544,1109.405,1179.7612
105,1108.0591,1121.5174,1230.2515
106,1074.9196,1121.5174,1270.3733
107,1053.7667,1114.3397,1292.9136
108,1031.5562,1108.9564,1302.3806
109,1015.3389,1101.7787,1308.6919
110,1015.6915,1093.2552,1309.1427
111,1024.1526,1092.8065,1296.0693
112,1105.2387,1155.1629,1323.5685
113,1219.8169,1313.5212,1502.0879
114,1216.644,1332.3627,1563.3977
115,1191.9656,1318.0072,1547.1686
116,1140.141,1274.0438,1499.3831
117,1060.4651,1223.3512,1424.0984
118,987.4876,1160.0976,1322.2161
119,960.694,1110.3022,1231.1531
120,951.5277,1083.3858,1158.5732
121,952.9379,1073.5164,1129.2708
122,970.2128,1064.0957,1104.4764
123,1011.8135,1069.9276,1101.3208
124,1129.5646,1090.5635,1120.2547
125,1300.5505,1153.8171,1187.4249
126,1371.0601,1245.3329,1334.3879
127,1298.7877,1218.8651,1435.3686
128,1220.8746,1216.6221,1525.9807
129,1182.4468,1205.8555,1608.0275
130,1153.1853,1206.3041,1671.5913
131,1130.2697,1197.7806,1710.3606
132,1107.7066,1167.7239,1713.5163
133,1090.0792,1136.77,1724.7865
134,1086.9062,1146.6394,1717.1227
135,1093.2521,1141.2561,1687.8203
136,1169.7551,1202.2666,1677.0009
137,1293.4995,1407.7286,1837.0373
138,1293.8521,1450.3463,1823.5131
139,1267.7635,1436.8881,1748.6792
140,1222.6373,1406.8314,1667.534
141,1126.0391,1341.3348,1562.496
142,1044.953,1236.8094,1412.8282
143,1004.7625,1171.3128,1296.9709
144,1004.0574,1094.1524,1200.9491
145,1000.8845,1084.7316,1156.3192
146,1017.4542,1082.4886,1128.3692
147,1059.76,1089.2177,1125.2135
148,1179.6264,1118.3771,1137.3853
149,1349.2021,1193.7431,1200.0475
150,1408.0777,1294.2311,1357.379
151,1336.5104,1262.8286,1451.1468
152,1240.9698,1224.2484,1542.2097
153,1185.6197,1195.9861,1608.4783
154,1142.9614,1084.7316,1672.0421
155,1118.9881,1186.1168,1701.7953
156,1112.2897,1169.0697,1713.0655
157,1086.2011,1152.4713,1719.8276
158,1078.7976,1137.6672,1726.1389
159,1088.3164,1139.0131,1697.2873
160,1163.7618,1212.5846,1684.6647
161,1280.1027,1419.841,1823.5131
162,1276.5772,1460.6643,1815.8494
163,1264.5905,1446.3088,1745.5236
164,1211.7083,1420.7382,1677.0009
165,1129.212,1350.3069,1557.988
166,1043.1903,1245.3329,1416.8855
167,1016.7491,1177.5933,1287.504
168,1000.5319,1140.8075,1202.7523
169,1009.6982,1130.4895,1153.6144
170,1027.3256,1126.9007,1131.9756
171,1086.2011,1134.527,1127.0168
172,1197.9589,1171.3128,1143.6966
173,1384.457,1263.7258,1210.8668
174,1463.4278,1379.0178,1375.8621
175,1388.6875,1341.3348,1463.7694
176,1274.1094,1303.2032,1546.7178
177,1207.8303,1268.6605,1623.8058
178,1161.999,1240.3982,1675.1977
179,1126.0391,1216.1735,1704.951
180,1106.6489,1188.3598,1694.5824
181,1089.0215,1175.7988,1693.6808
182,1081.2655,1157.4059,1680.1566
183,1098.1878,1175.7988,1659.8703
184,1170.8127,1286.1561,1655.813
185,1293.8521,1457.524,1825.3164
186,1291.3842,1483.5432,1827.1196
187,1271.6415,1470.5336,1761.7526
188,1236.3867,1424.3271,1695.9348
189,1144.0191,1350.3069,1573.7662
190,1060.8177,1252.062,1436.721
191,1024.1526,1178.4905,1309.1427
192,1014.2813,1141.7047,1216.7273
193,1016.7491,1121.5174,1166.2369
194,1037.5495,1118.8258,1150.4587
195,1086.9062,1128.6951,1144.5982
196,1208.8879,1158.3032,1153.6144
197,1395.3859,1244.4357,1221.6862
198,1456.0242,1344.4751,1370.9032
199,1385.162,1301.4088,1473.2363
200,1279.3976,1272.2493,1588.192
201,1210.6507,1241.2955,1663.0259
202,1162.7041,1185.6682,1692.7792
203,1133.0901,1151.5741,1705.8526
