name,node,technology,max_mw,min_mw,heat_rate_slope_mmbtu_per_mwh,heat_rate_intercept_mmbtu_per_hr,fuel_cost_per_mmbtu,vom_cost_per_mwh,startup_cost,shutdown_cost,ramp_rate_mw_per_hr,min_up_time_hr,min_down_time_hr,num_units
101_CT_1,Area_1,ct,20.0,8.0,9.761333333333333,26.821333333333342,10.3494,0.0,51.747,0.0,180.0,1,1,1
101_CT_2,Area_1,ct,20.0,8.0,9.761333333333333,26.821333333333342,10.3494,0.0,51.747,0.0,180.0,1,1,1
101_STEAM_3,Area_1,steam,76.0,30.0,7.763333333333332,165.1999999559467,2.11399,0.0,7144.017806,0.0,120.0,8,4,1
101_STEAM_4,Area_1,steam,76.0,30.0,7.763333333333332,165.1999999559467,2.11399,0.0,7144.017806,0.0,120.0,8,4,1
102_CT_1,Area_1,ct,20.0,8.0,9.122,44.135999999999996,10.3494,0.0,51.747,0.0,180.0,1,1,1
102_CT_2,Area_1,ct,20.0,8.0,9.122,44.135999999999996,10.3494,0.0,51.747,0.0,180.0,1,1,1
102_STEAM_3,Area_1,steam,76.0,30.0,9.748666666666667,55.269999985261336,2.11399,0.0,7144.017806,0.0,120.0,8,4,1
102_STEAM_4,Area_1,steam,76.0,30.0,9.748666666666667,55.269999985261336,2.11399,0.0,7144.017806,0.0,120.0,8,4,1
107_CC_1,Area_1,cc,355.0,170.0,6.905333331538504,53.83333358937102,3.88722,0.0,12425.887452,0.0,248.39999999999998,8,5,1
113_CT_1,Area_1,ct,55.0,22.0,7.432666666666667,125.23133333333334,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
113_CT_2,Area_1,ct,55.0,22.0,7.432666666666667,125.23133333333334,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
113_CT_3,Area_1,ct,55.0,22.0,7.432666666666667,125.23133333333334,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
113_CT_4,Area_1,ct,55.0,22.0,7.432666666666667,125.23133333333334,3.88722,0.0,1760.1332160000002,0.0,222.0,3,3,1
115_STEAM_1,Area_1,steam,12.0,5.0,12.341999999556004,24.99000002221198,10.3494,0.0,393.2772,0.0,60.0,4,2,1
