hour,Z00,Z01,Z02,Z03,Z04
0,629.5,593.88,875.13,733.87,629.5
1,600.94,562.03,824.31,702.79,590.74
2,583.5,552.9,808.92,682.16,572.88
3,569.67,546.92,784.09,686.59,572.95
4,574.39,539.96,773.64,691.29,584.02
5,597.79,566.75,801.96,728.74,596.01
6,658.96,628.8,885.06,796.85,648.96
7,731.62,689.77,985.07,870.5,711.58
8,757.85,718.17,1015.68,902.37,750.7
9,767.68,722.18,1032.93,902.87,762.62
10,780.63,732.79,1028.15,918.53,780.98
11,792.13,742.6,1041.88,929.65,752.0
12,793.45,748.48,1041.97,959.06,770.97
13,777.24,758.0,1044.86,952.12,783.92
14,777.64,758.24,1035.45,949.14,790.88
15,792.51,775.38,1039.1,970.81,799.21
16,802.42,801.63,1077.95,990.09,818.37
17,836.19,865.12,1120.34,1049.78,846.86
18,846.96,898.89,1152.39,1088.47,903.19
19,828.16,915.26,1161.47,1064.6,908.4
20,776.1,862.53,1107.0,1026.41,868.26
21,727.68,794.22,1051.16,943.31,807.1
22,662.98,734.8,954.63,849.7,721.69
23,612.36,670.22,880.64,787.8,662.62
24,581.19,639.27,839.38,744.98,613.36
25,553.81,611.87,786.5,714.51,594.26
26,524.18,599.8,766.04,694.93,562.01
27,516.5,584.83,738.86,681.96,556.25
28,526.06,590.82,767.12,687.0,561.97
29,557.61,626.23,806.21,700.12,593.42
30,604.09,682.54,879.89,769.67,659.32
31,658.69,742.92,950.54,855.04,717.59
32,681.21,782.68,1013.34,896.86,753.56
33,691.65,795.75,1040.33,928.02,780.29
34,713.13,803.58,1065.87,952.29,800.71
35,716.25,820.29,1082.36,967.46,821.01
36,720.06,821.82,1081.66,959.05,811.28
37,725.43,798.21,1076.44,937.21,797.77
38,723.17,797.5,1074.59,909.54,772.41
39,732.54,803.71,1090.02,930.06,784.45
40,758.17,828.32,1098.58,955.28,797.23
41,797.58,887.47,1152.46,1011.25,850.06
42,816.21,927.7,1203.62,1074.04,867.82
43,813.68,917.78,1190.46,1067.87,877.47
44,795.4,868.38,1144.84,1026.93,832.83
45,732.41,818.22,1078.57,956.72,794.59
46,685.75,753.7,981.37,881.13,731.42
47,630.97,697.87,894.89,823.32,670.34
48,591.82,657.23,855.41,783.77,633.33
49,579.15,629.59,784.25,743.36,589.21
50,570.62,605.61,771.91,722.88,566.27
51,555.47,594.37,775.19,707.21,568.58
52,564.45,600.67,789.45,705.41,577.78
53,599.44,624.55,849.73,749.76,612.92
54,658.68,688.22,939.9,824.6,665.87
55,725.55,745.63,1035.31,890.38,718.08
56,755.8,771.69,1092.76,915.83,753.09
57,777.82,779.3,1112.08,936.15,766.12
58,799.4,784.88,1097.14,957.89,776.07
59,800.27,776.53,1105.63,948.83,794.96
60,802.16,784.28,1120.11,949.91,785.05
61,789.89,779.64,1099.42,939.63,780.69
62,791.17,783.85,1085.27,926.56,772.74
63,787.47,801.67,1081.78,950.17,791.99
64,805.07,825.67,1137.61,974.69,812.84
65,841.55,859.51,1184.52,1004.01,846.49
66,882.19,901.98,1213.14,1061.44,889.78
67,887.17,888.14,1193.72,1051.32,888.88
68,835.0,849.19,1146.95,1011.02,836.55
69,774.79,774.05,1069.5,948.66,785.11
70,721.04,708.79,993.84,870.25,731.09
71,644.75,648.55,906.48,788.76,672.56
72,605.51,615.31,852.93,739.55,626.47
73,576.44,588.31,814.64,709.83,596.7
74,571.59,578.9,809.94,692.75,584.2
75,569.46,566.66,791.14,677.8,574.65
76,575.11,569.75,785.95,678.51,584.98
77,603.13,600.61,844.83,712.87,623.29
78,662.05,653.88,945.06,792.49,693.29
79,736.5,709.57,1026.07,854.21,745.66
80,763.31,739.37,1078.28,876.19,772.37
81,775.99,736.18,1100.86,900.96,787.01
82,787.34,729.78,1119.99,906.79,794.59
83,794.04,741.8,1109.87,895.17,787.57
84,792.41,736.27,1112.7,916.22,795.46
85,774.55,737.12,1126.48,918.01,781.54
86,775.29,733.55,1119.82,898.36,768.32
87,779.38,732.28,1116.78,902.72,771.52
88,814.39,760.53,1152.32,939.54,798.46
89,859.61,794.62,1193.58,1001.49,837.14
90,890.11,827.87,1253.94,1032.05,871.99
91,889.59,814.91,1225.37,1032.68,860.07
92,847.19,772.93,1138.27,977.49,813.48
93,803.19,722.14,1078.32,889.41,758.76
94,740.22,660.86,1001.8,821.94,699.37
95,682.1,605.22,932.35,740.82,652.95
96,632.7,564.34,870.65,694.51,621.89
97,604.22,540.66,821.65,662.71,581.09
98,576.67,533.21,797.56,644.17,573.35
99,555.37,530.17,802.4,630.55,567.24
100,561.71,529.64,806.07,632.0,573.65
101,585.82,567.22,849.25,683.37,616.12
102,647.34,611.4,939.98,761.99,671.28
103,727.66,670.24,1020.16,841.01,727.16
104,750.85,700.44,1073.29,862.74,746.94
105,760.9,722.49,1108.11,893.89,778.45
106,771.49,724.48,1091.96,897.62,763.49
107,784.73,728.16,1126.44,902.38,769.85
108,783.78,739.92,1126.52,890.79,765.7
109,775.07,743.67,1118.69,890.57,753.56
110,782.58,734.8,1136.38,889.44,756.53
111,795.63,740.05,1142.56,906.24,761.23
112,808.58,754.88,1190.27,939.81,785.08
113,846.27,766.1,1261.61,978.33,804.52
114,877.64,807.26,1295.16,1029.18,844.31
115,859.58,795.46,1300.78,1020.79,842.48
116,826.02,763.31,1259.74,974.32,815.96
117,766.22,718.6,1171.27,916.14,777.99
118,716.41,653.51,1084.87,839.14,720.76
119,658.26,606.92,997.24,783.46,655.15
120,578.25,528.47,851.04,679.43,563.27
121,546.48,494.71,798.99,656.27,535.87
122,532.24,485.6,777.68,641.47,516.77
