name,node,technology,max_mw,min_mw,heat_rate_slope_mmbtu_per_mwh,heat_rate_intercept_mmbtu_per_hr,fuel_cost_per_mmbtu,vom_cost_per_mwh,startup_cost,shutdown_cost,ramp_rate_mw_per_hr,min_up_time_hr,min_down_time_hr,num_units
nuclear_Z00,Z00,nuclear,1000.0,900.0,10.45,30.0,0.72,2.3,120000.0,10000.0,500.0,72,48,1
coal0_Z00_0,Z00,coal,624.0,249.6,9.9,320.0,2.042,4.5,45000.0,5000.0,249.6,24,12,1
coal0_Z00_1,Z00,coal,624.0,249.6,9.9,320.0,2.042,4.5,45000.0,5000.0,249.6,24,12,1
gas_cc1_Z00_0,Z00,gas_cc,510.0,163.2,6.7,95.0,3.6,3.4,12000.0,1500.0,357.0,6,4,1
gas_cc1_Z00_1,Z00,gas_cc,510.0,163.2,6.7,95.0,3.6,3.4,12000.0,1500.0,357.0,6,4,1
gas_cc2_Z00_0,Z00,gas_cc,411.6,137.2,7.0,85.0,3.78,3.6,10000.0,1200.0,294.0,6,4,1
gas_cc2_Z00_1,Z00,gas_cc,411.6,137.2,7.0,85.0,3.78,3.6,10000.0,1200.0,294.0,6,4,1
gas_ct3_Z00_0,Z00,gas_ct,260.0,72.8,11.2,28.0,3.42,5.5,4500.0,500.0,260.0,1,1,1
gas_ct3_Z00_1,Z00,gas_ct,260.0,72.8,11.2,28.0,3.42,5.5,4500.0,500.0,260.0,1,1,1
gas_ct4_Z00_0,Z00,gas_ct,180.0,50.0,11.0,20.0,3.9,5.4,3500.0,400.0,180.0,1,1,1
gas_ct4_Z00_1,Z00,gas_ct,180.0,50.0,11.0,20.0,3.9,5.4,3500.0,400.0,180.0,1,1,1
wind_Z00,Z00,wind,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,1,1,1
solar_Z00,Z00,solar,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,1,1,1
coal0_Z01_0,Z01,coal,650.0,260.0,9.9,320.0,2.15,4.5,45000.0,5000.0,260.0,24,12,1
coal0_Z01_1,Z01,coal,650.0,260.0,9.9,320.0,2.15,4.5,45000.0,5000.0,260.0,24,12,1
gas_cc1_Z01_0,Z01,gas_cc,480.0,153.6,6.7,95.0,3.78,3.4,12000.0,1500.0,336.0,6,4,1
gas_cc1_Z01_1,Z01,gas_cc,480.0,153.6,6.7,95.0,3.78,3.4,12000.0,1500.0,336.0,6,4,1
gas_cc2_Z01_0,Z01,gas_cc,428.4,142.8,7.0,85.0,3.42,3.6,10000.0,1200.0,306.0,6,4,1
gas_cc2_Z01_1,Z01,gas_cc,428.4,142.8,7.0,85.0,3.42,3.6,10000.0,1200.0,306.0,6,4,1
gas_ct3_Z01_0,Z01,gas_ct,245.0,68.6,11.2,28.0,3.6,5.5,4500.0,500.0,245.0,1,1,1
gas_ct3_Z01_1,Z01,gas_ct,245.0,68.6,11.2,28.0,3.6,5.5,4500.0,500.0,245.0,1,1,1
gas_ct4_Z01_0,Z01,gas_ct,187.2,52.0,11.0,20.0,4.095,5.4,3500.0,400.0,187.2,1,1,1
gas_ct4_Z01_1,Z01,gas_ct,187.2,52.0,11.0,20.0,4.095,5.4,3500.0,400.0,187.2,1,1,1
wind_Z01,Z01,wind,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,1,1,1
coal0_Z02_0,Z02,coal,676.0,270.4,9.9,320.0,2.257,4.5,45000.0,5000.0,270.4,24,12,1
coal0_Z02_1,Z02,coal,676.0,270.4,9.9,320.0,2.257,4.5,45000.0,5000.0,270.4,24,12,1
gas_cc1_Z02_0,Z02,gas_cc,500.0,160.0,6.7,95.0,3.42,3.4,12000.0,1500.0,350.0,6,4,1
gas_cc1_Z02_1,Z02,gas_cc,500.0,160.0,6.7,95.0,3.42,3.4,12000.0,1500.0,350.0,6,4,1
gas_cc2_Z02_0,Z02,gas_cc,403.2,134.4,7.0,85.0,3.6,3.6,10000.0,1200.0,288.0,6,4,1
gas_cc2_Z02_1,Z02,gas_cc,403.2,134.4,7.0,85.0,3.6,3.6,10000.0,1200.0,288.0,6,4,1
gas_ct3_Z02_0,Z02,gas_ct,255.0,71.4,11.2,28.0,3.78,5.5,4500.0,500.0,255.0,1,1,1
gas_ct3_Z02_1,Z02,gas_ct,255.0,71.4,11.2,28.0,3.78,5.5,4500.0,500.0,255.0,1,1,1
gas_ct4_Z02_0,Z02,gas_ct,176.4,49.0,11.0,20.0,3.705,5.4,3500.0,400.0,176.4,1,1,1
gas_ct4_Z02_1,Z02,gas_ct,176.4,49.0,11.0,20.0,3.705,5.4,3500.0,400.0,176.4,1,1,1
wind_Z02,Z02,wind,840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,1,1,1
solar_Z02,Z02,solar,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,1,1,1
coal0_Z03_0,Z03,coal,637.0,254.8,9.9,320.0,2.042,4.5,45000.0,5000.0,254.8,24,12,1
coal0_Z03_1,Z03,coal,637.0,254.8,9.9,320.0,2.042,4.5,45000.0,5000.0,254.8,24,12,1
gas_cc1_Z03_0,Z03,gas_cc,520.0,166.4,6.7,95.0,3.6,3.4,12000.0,1500.0,364.0,6,4,1
gas_cc1_Z03_1,Z03,gas_cc,520.0,166.4,6.7,95.0,3.6,3.4,12000.0,1500.0,364.0,6,4,1
gas_cc2_Z03_0,Z03,gas_cc,420.0,140.0,7.0,85.0,3.78,3.6,10000.0,1200.0,300.0,6,4,1
gas_cc2_Z03_1,Z03,gas_cc,420.0,140.0,7.0,85.0,3.78,3.6,10000.0,1200.0,300.0,6,4,1
gas_ct3_Z03_0,Z03,gas_ct,240.0,67.2,11.2,28.0,3.42,5.5,4500.0,500.0,240.0,1,1,1
gas_ct3_Z03_1,Z03,gas_ct,240.0,67.2,11.2,28.0,3.42,5.5,4500.0,500.0,240.0,1,1,1
